Reviews,Sentiment
"silver creek city resort có dịch vụ cũng rất ok. khi nghỉ tại đây, tôi thấy mọi thứ đều ổn, không có gì phàn nàn cả. phòng ốc sạch sẽ, gọn gàng, tiện nghi trang bị đầy đủ. nhân viên làm việc cũng nhanh chóng, lịch sự. các tiện ích kèm theo đầu hoạt động ok, giá cả lại phù hợp, tôi khá hài lòng khi nghỉ tại đây.",positive
có một trục trặc là toilet bị hư.,negative
"khách sạn kỳ hòa có vị trí thuận tiện cho việc đi lại của tôi. bên cạnh đó, nhân viên họ đón tiếp khách hàng một cách lịch sự và phòng ốc cũng đảm bảo được sự sạch sẽ nên khoảng thời gian ở đây tôi thấy thoải mái.",positive
loại phòng khách sạn thì hơi nhỏ.,negative
"khách sạn kỳ hòa có khuôn viên khá rộng rãi, thoáng mát, dịch vụ phòng ốc ở đây cũng ok, phòng đạt tiêu chuẩn, đầy đủ các vật dụng cơ bản cho khách sử dụng và vệ sinh phòng sạch sẽ, nhân viên thì cũng lịch sự, làm việc nhanh chóng. nhìn chung, với mức giá cả như vậy thì tôi thấy hợp lý, tôi hài lòng khi nghỉ tại đây.",positive
"khi tôi tới check in tại khách sạn thì khách sạn đang. trong quá trình nâng cấp, vẫn ám mùi sơn.",negative
"ở khách sạn victory tôi đặt hạng phòng cũng tương đối đắt nên dịch vụ khá ổn. phòng ốc đẹp, điều kiện vệ sinh đảm bảo, đồ dùng đầy đủ. địa điểm tốt, đi lại thuận tiện. vì gần trung tâm thành phố, nhân viên tiếp đón nồng hậu, hỗ trợ khách nhiệt tình.",positive
trong việc đón khách không có sự linh hoạt. bữa ăn sáng của chúng tôi cũng bị tính tiền là 25 usd.,negative
"khách sạn victory nằm ở trung tâm thành phố nên tiện lợi và dễ dàng đi lại. bên cạnh đó, dịch vụ phòng ở lại đáp ứng được tiêu chuẩn cơ bản về sự sạch sẽ và nhân viên cũng lịch sự nên tôi thấy ở cũng được.",positive
nhân viên không thân thiện với khách việt cho lắm. ăn sáng tệ.,negative
"lúc đến khách sạn bước vào sảnh tôi khá hài lòng. vì ở nó khá rộng rãi và thoáng mát. nhân viên tiếp đón lịch sự, thân thiện. vị trí tốt, nằm ngay mặt đường chính đi lại và tìm kiếm dễ dàng. giá tiền so với chất lượng là tương xứng. không có gì để phàn nàn cả.",positive
thái độ phục vụ của nhân viên kém. không hiếu khách. trang thiết bị của khách sạn đã lỗi thời và cũ kỹkhông có wifi miễn phí.,negative
"tôi đánh giá cao chất lượng dịch vụ ở khách sạn victory. dịch vụ phòng ốc đạt tiêu chuẩn, vệ sinh phòng sạch sẽ, gọn gàng, đầy đủ tiện nghi. đến cách làm việc của nhân viên cũng tốt, vui vẻ, lịch sự. mọi thứ đều tốt. không có gì phàn nàn. giá cả cũng tương xứng với dịch vụ của khách sạn, tôi hài lòng khi nghỉ tại đây. vị trí đi lại cũng thuận tiện.",positive
"nhân viên phục vụ kém, thức ăn dở tiệm làm tóc và móng tay thì có giá gấp đôi các spa ở sài gòn.",negative
trong chuyến đi vừa qua thì tôi có lựa chọn khách sạn new sunny để làm điểm dừng chân. vị trí ngay trung tâm thuận tiện cho việc tham quan cũng như mua sắm của tôi. và tôi đánh giá dịch vụ ở đây rất ok.,positive
giá cả chưa hợp lý thức ăn quá đơn điệu. internet quá yếu.,negative
"khách sạn gần sân bay tân sơn nhất nên rất phù hợp với tôi. chất lượng dịch vụ khách sạn đang có tốt. nhân viên phục vụ khách hàng chuyên nghiệp, vui vẻ, nhiệt tình. khâu vệ sinh được chú trọng. nội thất, tiện nghi cần thiết đầy đủ.",positive
"chất lượng phòng tốt, tiện nghi đầy đủ, sạch sẽ. tuy nhiên hình ảnh loại phòng tôi đặt trên trang web khác với loại phòng thực tế tôi được nhận nên chưa được hài lòng lắm.",negative
"tôi không phàn nàn gì khi nghỉ ngơi tại khách sạn này. nhân viên khách sạn họ làm việc vui vẻ, nhiệt tình. tiện nghi, nội thất cần thiết được khách sạn cung cấp đầy đủ. phòng ở được chú ý giữ gìn vệ sinh sạch sẽ.",positive
thái độ nhân viên không tốt.,negative
"chọn khách sạn new sunny làm nơi để nghỉ ngơi trong kì nghỉ vừa qua là một quyết định đúng đắn. vì mọi thứ tại đây đều ổn từ dịch vụ phòng ốc, vệ sinh tiện nghi đến đội ngũ nhân viên phục vụ cũng như giá cả và vị trí ngay trung tâm thuận tiện cho việc đi lại.",positive
"khách sạn thiết kế hơi bí. lên xuống thang máy hơi bất tiện, không có chỗ để xe ô tô. không có view đẹp.",negative
"vị trí khách sạn new sunny thuận tiện, gần mấy điểm tham quan, ăn uống mà tôi muốn đến. bên cạnh đó, nhân viên dọn vệ sinh phòng sạch sẽ, tươm tất. do đó, tôi thấy chọn khách sạn này lưu trú cũng được.",positive
"những dịch vụ của khách sạn rất nghèo nàn không có bar, nhà hàng, information, taxi.",negative
"trong chuyến du lịch vừa qua tôi có đặt phòng tại khách sạn mi linh làm nơi nghỉ ngơi và sau khi ở đây tôi có vài ý kiến sau. tôi cảm thấy dịch vụ tại khách sạn rất ok từ nhân viên phục vụ, vệ sinh tiện nghi đến vị trí và giá cả. nhìn chung tôi hài lòng khi nghỉ ngơi tại đây.",positive
giá phòng không có wifi mà hình như không có thông báo hay note trước.,negative
"trong chuyến du lịch vừa tôi có đặt phòng tại khách sạn mi linh làm nơi nghỉ ngơi và sau khi ở đây tôi thấy dịch vụ khách sạn rất ok về mọi thứ từ nhân viên phục vụ, tiện nghi phòng ốc đến vị trí, giá cả và vấn đề vệ sinh. nhìn chung tôi không có gì phàn nàn.",positive
rác.,negative
"theo tôi đánh giá thì khách sạn mi linh có chất lượng cũng được. phòng ốc được dọn dẹp sạch sẽ, tươm tất. tuy nhiên  nhân viên không nhiệt tình cho lắm. tôi có yêu cầu mang đồ dùng. nhưng lại không thấy đem lên. và nếu mà phòng hơi to một tý thì tôi cảm thấy sẽ ấn tượng hơn.",positive
"resort không có đầy đủ tiện nghi, không có tivi. làm theo kiểu nhà sàn nên có phần thô sơ.",negative
"theo đánh giá của tôi thì khách sạn mi linh có chất lượng ok. nhân viên nhiệt tình,  lịch thiếp. vị trí thuận tiện trong quá trình thăm quan du lịch của tôi. giá cả phù hợp với nhu cầu. phòng ốc sạch sẽ, tươm tất.",positive
tôi thấy không hài lòng về mọi thứ từ vị trí. tiện nghi cho tới cách phục vụ của nhân viên.,negative
tôi nhận thấy dịch vụ nơi này bình thường. không có gì đặc biệt. nhưng cũng không có gì chê trách.,positive
"khách sạn đang sửa chữa, quá ồn ào. cúp điện cả ngày, nóng và ngộp. khách sạn the light nha trang hơi xuống cấp.",negative
thông qua mytour tôi có chọn nghỉ ngơi tại khách sạn phoenix sài gòn làm nơi nghỉ ngơi cùng người thân. trong kì nghỉ vừa qua và tôi thấy mọi thứ tại đây cũng ổn nên không có ý kiến gì để phàn nàn về nơi này. tôi khá hài lòng về chất lượng khách sạn.,positive
gọi thức ăn lên phòng alo phòng bếp hỏi có món gì. lại bảo khách phải đi xuống nhà hàng chứ nhiều món quá không biết thế nào. khách sạn nên để cuốn menu. trong phòng cho khách xem để cần order món khi cần thiết.,negative
"khách sạn đẹp, gần biển, gần chợ, nhân viên phục vụ thân thiện và nhiệt tình, rất thích họp khi đi nghỉ dưỡng.",positive
"khách sạn toạ lạc trên đường trần phú, đối diện bãi biển nên có view đẹp. trên hình hồ bơi rất đẹp. nhưng ở ngoài nó lại rất nhỏ và nằm ngay trước cổng khách sạn. nhân viên khách sạn phải đứng ở trước cổng để chào đón và kéo hành lí cho khách thay vì đứng ở phía. trong và đợi khách tự kéo hành lí vào. tóm lại, lần đầu và cũng là lần cuối cùng đến the light.",negative
"tôi có đặt phòng tại khách sạn mi linh làm nơi dừng chân. trong chuyến du lịch vừa qua. sau khi ở đây tôi cảm thấy hài lòng về mọi thứ từ phòng ốc, vấn đề vệ sinh, tiện nghi đến thái độ của nhân viên cũng như vị trí, giá cả. nhìn chung không có vấn đề gì phàn nàn.",positive
lúc tôi ở do trời mưa rất to. phòng bị dột rất nhiều nên tôi thấy cũng chưa được hài lòng về chất lượng ở tản đà resort & spa.,negative
"không có gì khiến tôi phàn nàn về khách sạn phoenix sài gòn này cả. phòng ốc dọn dẹp sạch sẽ, gọn gàng. bên cạnh đó, khách sạn tọa lạc tại vị trí trung tâm cũng thuận tiện đi lại.",positive
chất lượng hình ảnh tv kém. thiết bị phòng ngủ chất lượng kém.,negative
"vị trí khách sạn phoenix sài gòn ngay trung tâm nên thuận tiện đi lại. chất lượng dịch vụ ở đây được. phòng sạch sẽ, nhân viên chu đáo, giá cả hợp lý. nhưng tôi không hài lòng ở điểm là điều hòa ở đây không lạnh.",positive
tóm lại : chất lượng chỉ đạt 2 sao.,negative
"silver creek city resort có khuôn viên và hồ bơi đều rộng rãi, sạch sẽ nên khoảng thời gian nghỉ ngơi lại đây tôi cũng thấy thoải mái. tuy nhiên resort phục vụ bữa sáng khá đơn điệu chỉ với 2  3 món đơn giản.",positive
"khách sạn xuống cấp không đạt chuẩn 4 sao, vệ sinh phòng kém. không thay khăn tắm hàng ngày cho khách, khu vực hành lang dơ và có mùi hôi.",negative
"tôi thấy hài lòng về resort. hồ bơi rộng và sạch. khuôn viên được thiết kế rất dẹp, sang trọng, không gian lãng mạn, yên tĩnh. phòng rất thoáng mát, vệ sinh sạch sẽ, tiện nghi hiện đại, cao cấp. nhân viên luôn vui vẻ, chu đáo. tôi đã có thời gian nghỉ dưỡng thoải mái khi đến đây.",positive
nhân viên còn ngại chào khách. màu chăn hơi bẩn.,negative
"ăn uống tại khách sạn ngon miệng, phục vụ chu đáo, nhanh chóng. tuy nhiên thiết kế của phòng hơi ngợp. có cửa sổ nhưng không mở được nên tôi chưa được hài lòng lắm.",positive
thức ăn ở nhà hàng ở đó cũng không ngon. ăn đồ việt nam còn được chú ấn đồ tây thì không hề giống ngon chút nào. nói chung là ở thì được còn nếu muốn ăn và được phục vụ nhiệt tình thì phải đi khách sạn khác.,negative
"dịch vụ ở khách sạn kỳ hòa khá tốt, mọi thứ đều ok, phòng ốc sạch sẽ, đầy đủ tiện nghi. các vật dụng cơ bản cũng được trang bị đầy đủ cho khách sử dụng. nhân viên thì cũng lịch sự và vui vẻ với khách. giá cả như vậy là tôi thấy hợp lý, tôi cảm thấy hài lòng khi nghỉ tại đây.",positive
điểm không hài lòng nhất là thức ăn: resort ở xa trung tâm nên chỉ có 1 lựa chọn là ăn tại resort mà gia đình mình chủ yếu là nghỉ dưỡng nên cũng không muốn đi ra ngoài ăn. thức ăn giá khá đắt so với chất lượng và không có nhiều lựa chọn lắm.,negative
"khách sạn kỳ hòa có vị trí nằm gần trung tâm nên đi lại rất là thuận tiện, phòng ốc ở đây cũng rất ok và ăn sáng cũng khá ngon. tuy nhiên  quầy lễ tân khá xa đi cũng hơi bất tiện. nhìn chung, thì tôi thấy khá hài lòng khi nghỉ tại đây, dịch vụ như vậy là tôi thấy ổn, tương xứng với giá cả. cảm ơn mytuor đã hỗ trợ tôi đặt phòng nhanh chóng.",positive
điển hình như free massage mặt. dù là free. nhưng cũng tip  nhưng không đủ 10 phút đã cho thôi  trừ điểm. dịch vụ đưa đón vào thành phố không tiện.,negative
vừa qua thì tôi có đặt phòng tại khách sạn kỳ hòa thông qua hệ thống của công ty mytour cho chuyến đi của mình và theo ý kiến khách quan của tôi thì tôi cảm thấy hài lòng về khách sạn này nên tôi cho khách sạn được 8.5 điểm.,positive
tôi đặt villa beach front và có 2 ngày tuyệt vời tại đây ngoại trừ việc. trong phòng mỗi người chỉ được 1 chai lavie 330ml. tôi thiết nghĩ với giá phòng như vậy thì chúng tôi nên có đủ nước để uống. trong thời tiểt nóng nực ở nha trang.,negative
"nhìn chung tôi hài lòng về mọi thứ đều từ phòng ốc, vệ sinh tiện nghi đến nhân viên phục vụ cũng như giá cả và vị trí ngay trung tâm nên thuận tiện cho việc đi lại.",positive
chỉ có điều trong nhà vệ sinh không có vòi xịt nên hơi bất tiện với gia đình có các cháu nhỏ.,negative
"vị trí khách sạn này ngay trung tâm nên thuận tiện cho việc tham quan cũng như mua sắm của tôi. phòng ốc sạch sẽ, tiện nghi. nhưng chỗ ăn sáng hơi bé. nhìn chung, tôi thấy chất lượng khách sạn này cũng khá ok.",positive
ăn uống là một điểm trừ tại đây.,negative
"khách sạn này ở được. chất lượng dịch vụ ổn. nhân viên có thái độ phục vụ khách hàng lịch sự, hòa nhã. phòng ở được giữ gìn vệ sinh sạch sẽ. nội thất, tiện nghi cơ bản khách sạn cung cấp khá là đầy đủ.",positive
"chất lượng phòng khách sạn rất kém. phòng nhỏ, vệ sinh bẩn thỉu nên lúc nhận phòng tôi không ở và chuyển sang khách sạn khác. tôi đặt 3 đêm và được hoàn lại tiền 2 đêm.",negative
"mặc dù trong phòng trang bị đầy đủ những trang thiết bị hữu dụng  nhưng diện tích phòng hơi nhỏ. bù lại, ưu điểm của khách sạn là vị trí toạ lạc thuận tiện đi lại. nên tôi thấy ở khách sạn new sunny này khá tốt.",positive
"có điều ở mia hơi bất tiện khi tôi muốn vào trung tâm thành phố, mỗi ngày chỉ có 3 chuyến xe và chuyến cuối cùng về resort quá sớm.",negative
"căn phòng tôi ở với thiết kế, bày trí đầy đủ những tiện nghi trông khang trang, sạch sẽ. đồng thời, khách sạn nằm ở vị thế thuận lợi đi lại nên. trong khoảng thời gian ở lại khách sạn victory tôi thấy được.",positive
"chưa tốt: bãi biển đá rất nhiều làm đau chân. phải ra xa đến ngực của người cao 1,7m mới bớt đá, có thể nói là ko tắm được cho trẻ em và phụ nữ lớn tuổi. nhà hàng ăn không ngon, buffet sáng chỉ tương đương những khách sạn 3 sao ở châu âu.",negative
"khách sạn victory được bạn tôi giới thiệu khi vào công tác ở thành phố hồ chí minh, đây là khách sạn tôi cảm thấy rất hài lòng, cung cách phục vụ của nhân viên hết sức chuyên nghiệp. phòng ốc sạch sẽ gọn gàng làm tôi cảm thấy vừa ý.",positive
món ăn không thật xuất sắc. trong khi giá rất cao có lẽ là điểm trừ cho resort này.,negative
"tôi cảm thấy hài lòng khi chọn dịch vụ tại nơi đây. phòng ốc cũng được trang bị đầy đủ tiện nghi, vệ sinh sạch sẽ, nhân viên khách sạn làm việc cũng nhanh nhẹn và vui vẻ.",positive
không hài lòng vì nước vàng vàng. ko được an tâm.,negative
"dịch vụ khách sạn victory tuyệt vời. khách sạn phục vụ đồ ăn sáng phong phú với nhiều sự lựa chọn món ăn. nhân viên thân thiện khi chào đón du khách mà chất lượng phòng ốc lại sạch sẽ, tôi hài lòng khi ở đây.",positive
"tuy nhiên còn 1 số hạn chế: cách thiết kế vẫn còn 1 số bất tiện khi sử dụng. nguồn nước không được trong. lúc nào cũng đục nên không an tâm lắm. mia xa trung tâm thành phố nên về tối rất buồn, chuyến xe bus đưa đón vào thành phố 3 chuyến mỗi ngày thì hơi ít, đi taxi từ ks vào trung tâm nha trang mất 300.000đ. nhân viên thân thiện, dễ thương. nhưng kiến thức chuyên môn về khách sạn vẫn chưa được huấn luyện kỹ. mình hỏi gì về khách sạn mia đều không biết, đều nghe nói rằng.",negative
"theo cảm nhận khách quan của tôi thì dịch vụ của khách sạn victory rất là ổn. cơ sở vật chất khách sạn khang trang, không gian sạch sẽ, tạo cảm giác thoải mái khi ở. vị trí thuận tiện, dễ dàng khi đi lại.",positive
bồn tắm quá thấp. lavabo không có chỗ treo khăn.,negative
"tôi có đặt giùm bạn tại khách sạn mi linh. khi về thì bạn của tôi không có phàn nàn gì về chất lượng khách sạn đang cung cấp. do đó, tôi có thể đánh giá khách hàng này ổn với điểm 8 trên thang điểm 10.",positive
rác.,negative
nằm ở vị trí gần sân bay tân sơn nhất nên khách sạn mi linh đã có dịch vụ phòng ốc khách sạn thật sạch sẽ và thoải mái. phục vụ nhiệt tình và chu đáo nữa đã giúp chúng tôi có được ngày nghỉ vui vẻ và chuyến đi thành công.,positive
"về buffet sáng: so với số tiền bỏ ra thì mình ko hài lòng lắm với chất lượng của bữa sáng. thực đơn ít món, ít sự lựa chọn và đa số là thức ăn nguội ví dụ cheese, bánh mì, pate, thịt nguội và đồ ngọt....phù hợp với khẩu vị khách nước ngoài hơn, rất ít món cho người việt. khách sạn cũng không thay đổi thực đơn mỗi ngày nên dễ gây ngán.",negative
"giá cả hợp lý so với chất lượng dịch vụ tôi nhận được từ khách sạn mi linh. do đó, tôi thấy ở khách sạn này được, chất lượng ok. trong phòng trang bị đầy đủ những tiện nghi hữu ích, vệ sinh phòng sạch.",positive
"hơn nữa, quầy coffee ở dưới sảnh của sheraton rất là tệ. mình ko hài lòng. vì chất lượng ko đi đôi với giá tiền mình bỏ ra. thêm vào đó, mình ở khá dài nên cũg có thuê xe máy để đi chơi nên mình gửi ở bãi giữ xe của sheraton. mình vô cùng bất ngờ. vì bãi giữ xe qua đêm nhưg không có thẻ cho khách. mình có vào hỏi lại nhân viên khách sạn thì cũng nhận được câu trả lời tương tự. thiết nghĩ sheraton nên cải thiện lại để tạo sự yên tâm cho khách khi gửi xe ở đây.",negative
