Reviews,Sentiment
"thầy dạy hay , demo code trực tiếp cho sinh viên dễ hiểu .",positive
không đi đúng giờ .,negative
"thầy vui tính , chuyên môn vững .",positive
môn này khó .,negative
"dạy đúng đề cương , ôn tập sát với đề thi .",positive
"khi ra đề thi thầy nên kiểm tra kỹ nội dung đề , tránh để sót lỗi điển hình như doubledot tên cột của bảng trùng từ khóa của oracle .",negative
"cô dạy bài tập rất tận tình , dễ hiểu .",positive
giảng viên chưa cho sinh viên bài tập về nhà .,negative
"đề cập về tính thực tế , liên quan của hệ thống kiến thức .",positive
giảng viên chỉ lên lớp còn lại không hướng dẫn nội dung thực hành cho sinh viên .,negative
"thầy rất nhiệt tình , sẵn sàng trả lời câu hỏi sinh viên .",positive
giảng viên thực hành chỉ gặp sinh viên rất ít .,negative
"cô dạy đến hơi thở cuối cùng , rất tận tâm với sinh viên , sinh viên không rõ vấn đề gì đề giải thích cặn kẽ , lâu lâu trong giờ học kể những vấn đề có liên quan tới môn học giúp cho sinh viên định hướng được học môn này để làm gì tạo hứng thú cho sinh viên học tập , đặc biệt cô có giờ tiếp sinh viên định kỳ để để hỗ trợ sinh viên em rất thích điều này .",positive
còn đi trễ .,negative
ngoài ra cung cấp một vài thông tin bổ sung về việc học công nghệ thông tin hiệu quả hơn .,positive
giáo trình nên có sự trình bày cụ thể hơn .,negative
cô dạy nhiệt tình và dễ hiểu .,positive
cô rất nghiêm .,negative
"giảng dễ hiểu , cho bài tập đầy đủ .",positive
"mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên .",negative
"thầy vui tính , rất nhiệt tình với sinh viên .",positive
nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .,negative
sự nhiệt tình và liên hệ thực tế của giáo viên .,positive
em hy vọng nhà trường cải thiện lại các máy trong phòng thực hành để tương ứng với số tiền đối với số chỉ thực hành .,negative
tận tình chỉ bảo .,positive
quá khó khăn trong việc báo cáo bài .,negative
giảng viên giảng nhiều bài tập và tăng cường ôn tập ngữ pháp và luyện nói .,positive
"mong giảng viên có thể liên hệ bài học với thực tế , cho ví dụ nhiều hơn sinh viên có thể hiểu được bài .",negative
nhiều tài liệu hữu ích .,positive
"tụi em tới để học chứ không phải để nghe cô chê bai người việt này nọ lọ chai , không phải để nghe việc cô đi dạy người nước ngoài nói tiếng việt , cô cũng đừng đánh giá người ta nói cái gì cho cả một tập thể .",negative
"đồ án cuối kỳ trong vòng một tháng cuối , áp dụng được quy trình thực tế .",positive
đề thi khó .,negative
thúc đẩy sinh viên tự học đạt điểm cao trong các kỳ thi .,positive
không check mail mỗi khi hỏi bài .,negative
"thầy rất nhiệt tình , vui tính , dạy dễ hiểu và cặn kẽ .",positive
"thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học .",negative
"giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực .",positive
giảng viên nói tiếng anh không hay .,negative
"giảng rất hay và dễ hiểu , giúp cho sinh viên nắm vững kiến thức .",positive
các công thức đã có sự đổi mới nên cô cần cập nhật thêm ( betweenness centrality và closeness centrality ) tránh áp đặt kiến thức lên sinh viên .,negative
"giảng viên giảng dạy nhiệt tình , có đầy đủ các hoạt động để sinh viên rèn luyện và học tập .",positive
thầy không quan tâm đến học sinh .,negative
"cô dạy vui , dễ hiểu .",positive
"mong nhà trường cần nâng cấp các phòng thực hành , và phong lab khoa .",negative
chất lượng tốt .,positive
"nhưng cách truyền đạt và cách dạy học rất buồn ngủ , không hiệu quả , rắc rối .",negative
"giảng viên giảng dạy dễ hiểu , nhanh tiếp thu bài , đưa ra các ví dụ và bài tập hay .",positive
không dễ tính .,negative
"thầy vui tính , dạy rất dễ hiểu và rất nhiệt tình .",positive
"giảng viên không dạy phần trọng tâm của môn học , dạy quá dài dòng , và cần hạn chế viết bảng .",negative
"nhiệt tình , tài liệu đầy đủ dễ đọc dễ hiểu .",positive
"giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ .",negative
thầy vui tính trong việc dạy .,positive
tôi thấy rất bất mãn về việc giảng dạy của giảng viên mong nhà trường chấn chỉnh lại việt này .,negative
"thầy rất tân tâm , vui vẻ , và có khả năng truyền đạt kiến thức .",positive
thầy giảng bài quá buồn ngủ .,negative
"slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ .",positive
các bài thực hành cần bám sát theo chương trình lý thuyết .,negative
cô vui vẻ trong giảng dạy .,positive
"thầy mở máy lạnh lạnh quá ạ , mong thầy bật máy lạnh vừa phải thôi !",negative
"tận tình , chu đáo , hiểu tâm lý sinh viên .",positive
giảng viên nên trình bày mẫu các bài giải nhiều hơn .,negative
"giảng viên giảng dạy tận tâm , nhiệt huyết .",positive
"nội dung không sâu , sơ sài .",negative
"giáo viên dễ gần , phương pháp dạy dể tiếp thu .",positive
chủ yếu dựa vào năng lực tự học của sinh viên .,negative
dành ra những tiết thực hành nghe nói riêng tạo sự tự nhiên cho sinh viên khi giao tiếp bằng tiếng anh .,positive
"giọng cô khó nghe , cô truyền đạt chưa hay , giảng nhanh .",negative
cô giáo xinh .,positive
"thầy cho ít bài tập để làm , toàn bộ bài tập em làm đều là do các bạn ở lớp khác chia sẻ .",negative
"giảng hay , dễ hiểu .",positive
cô có tổ chức một hoạt động về anh văn nhưng em thấy chưa thực sự có hiệu quả ( đó là ý kiến cá nhân của em ) .,negative
thầy dạy cho nhiều dạng bài tập ví dụ hay giúp em hiểu rõ hơn môn mạng .,positive
"giảng khó hiểu , nhưng phần lớn là do môn giải tích khó .",negative
chia sẻ kiến thức thực tế cho sinh viên .,positive
thầy dịch slide và giảng khó hiểu .,negative
"thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao .",positive
không đăng slide bài giảng lên course .,negative
"giáo viên nhiệt tình , thân thiện .",positive
thầy cần chủ động về thời gian .,negative
"đúng giờ , tận tình .",positive
em mong thầy sẽ cung cấp chúng em nhiều tài liệu chính thống hơn để chúng em có thể dễ dàng tìm hiểu kiến thức môn học .,negative
thầy lên lớp đúng giờ .,positive
đã là chủ nhật còn bắt đi học .,negative
thầy dạy rất truyền cảm .,positive
quá nhiều nội dung không cần thiết .,negative
thầy rất đúng giờ .,positive
"việc truyền đạt kiến thức theo lối bình dân , khiến sinh viên khó hình dung , nắm bắt được mình đang được truyền đạt điều gì .",negative
"cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn .",positive
và nội dung đó không giúp sinh viên sau này nhiều .,negative
khi nào sinh viên chưa hiểu đều giảng nhiệt tình .,positive
báo nghỉ không đại trà .,negative
"thầy giáo tích cực , tâm lý .",positive
thầy giao đồ án cho sinh viên tự bơi .,negative
"thầy tận tâm , nhiệt tình với sinh viên .",positive
giảng viên giảng chưa được thú vị .,negative
thầy dạy bám sát nội dung cần thiết nhiệt tình .,positive
em muốn thầy dạy và sửa bài tập .,negative
"cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học .",positive
đừng có một chỗ tiếng anh một chỗ tiếng việt .,negative
thầy nhiệt tình giảng bài !,positive
cần sử dụng phòng elab và các thiết bị nghe nhìn cho lớp chất lượng cao .,negative
thầy giảng kỹ bài .,positive
môn này là môn quan trọng trong truyền thông nên cần thực hành trên phần mềm và thiết bị mô phỏng nhiều hơn .,negative
"cô nhiệt tình với sinh viên , vui vẻ .",positive
"giảng viên thường cho một số bài tập nâng cao , hơi quá sức đối với tụi em .",negative
"thầy dạy vui tính , không áp lực .",positive
"thầy khá hiền , ít nói .",negative
"thầy giảng bài rất nhiệt tình , có các ví dụ minh họa để làm rõ vấn đề .",positive
"thầy cho bài tập về quá nhiều , thời gian cố định , ngắn nên không đủ thời gian để làm bài .",negative
các bài tập thực hành giúp nâng cao kiến thức đã học trên lớp .,positive
nhà trường nên có nhiều giáo trình bài tập và hướng dẫn giải bài tập nhiều hơn .,negative
"cô dạy hay tuyệt , rất dễ hiểu .",positive
tệ đến mức không tả được .,negative
"dạy đúng giờ , thường xuyên đưa bài tập lên moodle , tạo cơ hội cho học sinh rèn luyện kỹ năng nghe và nói nhiều .",positive
"giảng viên diễn đạt quá nhanh , lớp thường rất đông , rất thiệt thòi cho sinh viên ngồi cuối lớp do không nhìn thấy nội dung bài giảng .",negative
giảng dạy hay dễ hiểu .,positive
thầy không cho slide bài giảng cũng không giới thiệu tài liệu đọc thêm .,negative
thầy nhiệt tình trong cách giảng dạy .,positive
nếu là điểm cố định thì thầy phải cho cơ hội cho tất cả các sinh viên đều nộp bài được và giải thích rõ ràng khung điểm này từ đầu .,negative
"hiện tại tương đối tốt , không cần điều chỉnh gì thêm .",positive
"nhờ thầy cho bài tập và sửa thầy không làm , và cũng giảng nhưng mà để làm được bài thì em muốn có được cách làm rõ ràng .",negative
"giảng dạy tận tâm , nhiệt tình , hay .",positive
"thêm nữa , thầy cũng không muốn nhìn thấy một sinh viên ngủ gục trên bàn mà vẫn có tên trong danh sách điểm danh .",negative
vui tính hoà đồng .,positive
môn mạng máy tính còn nặng nề lý thuyết rất nhiều .,negative
"cô dạy dễ hiểu , bài giảng sống động .",positive
"tiết học căng thẳng , phải thường xuyên đúng giờ .",negative
"giáo viên dạy tận tình , dễ hiểu , hay giải đáp những thắc mắc của sinh viên về môn học .",positive
nâng cấp hệ thống loa cho các phòng học .,negative
"tận tâm , nhiệt tình giải đáp thắc mắc trong quá trình học .",positive
đề nghị trừ lương .,negative
"thầy dạy vui , không khô khan , liên tưởng tốt .",positive
"thầy dạy hay nhưng không ôn tập thi giữa kỳ , cuối kỳ cho sinh viên .",negative
"tài liệu thầy cung cấp đầy đủ , cụ thể .",positive
giảng viên cần đảm bảo thời gian lên lớp .,negative
cực kỳ nhiệt tình .,positive
máy chiếu tại phòng học còn mờ .,negative
"thầy ít có giảng về bài tập , chỉ cho sinh viên tự tìm hiểu .",positive
viết quá nhiều ví dụ trùng lặp ( dạng ) với nhau .,negative
giáo viên có kiến thức tốt .,positive
tài liệu môn mạng máy tính được dịch từ computer networking a topdown aproach còn hơi khó hiểu để sinh viên học hay tự nghiên cứu .,negative
"học thầy rất là vui , mà còn biết thêm nhiều cái hay nữa .",positive
"em mong muốn được nghe thầy kể nhiều câu chuyện về sự nghiệp và cuộc đời , gian nan từng trải của thầy trong các bài học nhiều hơn nữa , có lẻ sinh viên sẽ học được nhiều điều hơn .",negative
có thể tổ chức các buổi seminar nhằm kích thích sinh viên tìm hiểu thêm và ứng dụng tốt hơn môn học này vào thực tiễn .,positive
"em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán .",negative
"thầy giảng bài khá là dễ hiểu , chậm nhưng chắc .",positive
thầy thường xuyên đặt ra những deadline không phù hợp với sinh viên .,negative
"dạy dễ hiểu , và cung cấp thêm những phương pháp học tập hiệu quả .",positive
quá khắt khe colonsad .,negative
"cô dạy rất dễ thương , dễ hiểu , nắm chắc kiến thức .",positive
cách giảng của thầy hơi đều và chậm .,negative
"thầy giảng dạy nhiệt tình , hăng say !",positive
cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn .,negative
thầy dạy dễ hiểu tận tâm nhiệt tình với sinh viên .,positive
không đảm bảo giờ lên lớp .,negative
giải bài tập cho sinh viên nhiều .,positive
"mỗi khi báo cáo tiến độ đồ án trong năm học , giảng viên chỉ chỉ ra duy nhất một lỗi trong đồ án cho sinh viên , mà không xem toàn bộ đồ án để góp ý cho sinh viên mọi sai sót để sinh viên khắc phục trong lần báo cáo cuối kỳ .",negative
thầy giảng bài rất hay !,positive
quá tệ .,negative
"nhưng thầy rất ra dáng một doanh nhân thành đạt , một người diễn thuyết tạo cảm hứng nhiều hơn là kiến thức phù hợp với sinh viên .",positive
tăng thêm thời lượng môn học .,negative
thầy lồng ghép ví dụ thực tiễn vào bài học .,positive
"hay đi trễ , dạy lố thời gian .",negative
"cô dạy nhiệt tình và có tâm huyết , dễ hiểu , cô dạy rất hay và cung cấp cho em nhiều kiến thức , trình độ của cô rất giỏi .",positive
"giảng dạy quoa loa , thiếu nhiệt tình , chương trình học hoàn toàn không ăn khớp với lý thuyết .",negative
"giảng viên nhiệt tình , tâm huyết , giảng dạy tốt .",positive
giảng viên nên dạy kỹ hơn các phần quan trọng của bài học .,negative
thầy dạy hay và tận tâm với em .,positive
"giáo viên không nhiệt tình , tận tâm với sinh viên .",negative
"nhiệt tình , tận tâm , giảng dễ hiểu .",positive
"môn học này không có sắp xếp lịch học , phòng học .",negative
"em thích cách dạy của thầy , làm bài tập sau khi giảng xong lý thuyết cho sinh viên có thể nhớ ngay hôm ấy không cần về nhà coi lại bài .",positive
"nhiều bạn phải học tiết 4 , 5 phải nghỉ giữa chừng để đi học môn khác như tư tưởng .",negative
giảng viên cho bài tập bám sát nội dung giảng dạy .,positive
không công bố điểm giữa kỳ sớm .,negative
giảng viên nhiệt tình !,positive
nên giảng những phần cần chú trọng nhiều hơn .,negative
thầy rất nhiệt tình giảng dạy .,positive
"thầy lên lớp rất trễ , giờ học bắt đầu vào lúc 13h00 thì có hôm 13h30 hoặc 14h00 thầy mới vô .",negative
thầy dạy rất dễ hiểu .,positive
giọng nói khó truyền đạt kiến thức một cách hiệu quả nhất .,negative
"dạy chắc chắn kiến thức , truyền đạt tốt .",positive
học còn khá tẻ nhạt .,negative
"thầy dạy rất hay , quan tâm học sinh .",positive
"giọng nói hơi nhỏ , khó tiếp thu !",negative
giáo trình môn học được cập nhật .,positive
thực hành nhiều hơn .,negative
phương pháp dạy thực hành rất hay .,positive
nhiều phần nâng cao thường bị giảng viên bỏ qua .,negative
"giảng viên tận tâm , nhiệt tình , dễ tính , lên lớp đúng giờ .",positive
dời lịch hẹn gặp sinh viên nhưng không thông báo .,negative
"cô dạy hay , lại rất đúng giờ dạy học .",positive
"phòng học , micro , máy chiếu cần nâng cấp và cải thiện và bảo trì thường xuyên hơn .",negative
giải đáp rất tận tình mọi thắc mắc của sinh viên .,positive
đôi lúc giảng quá nhanh .,negative
"cô dễ thương , tận tâm với sinh viên .",positive
"thầy dạy với tư tưởng là sinh viên biết hết cả rồi , lên giảng dạy chỉ nói vài chỗ .",negative
"giảng viên nhiệt tình , tạo nhiều hoạt động cho lớp .",positive
cần đổi mới tài liệu .,negative
"giảng viên tận tâm , nhiệt tình , vui vẻ .",positive
do đó làm hiệu quả học chưa đạt mức tốt nhất .,negative
giúp học sinh chủ động trong việc thực hiện đề tài và nhiệt tình giúp đỡ sinh viên tìm tài liệu .,positive
thầy nên up các bài giải lên để em so sánh kết quả cho dễ .,negative
cung cấp nhiều kiến thức bổ ích cho sinh viên .,positive
"em nghĩ nhà trường nên nâng cấp phiên bản của sql vì sql 2005 mà nhà trường đang cho sinh viên thực hành còn thiếu sót nhiều chức năng , hỗ trợ .",negative
"giảng viên nhiệt tình trong giảng dạy , hệ thống tài liệu học tập được update tốt .",positive
dạy nói hơi nhỏ .,negative
giáo viên nhiệt tình giảng dạy .,positive
"sinh viên lớp chất lượng cao nhưng lại xếp thi phòng thực hành của lớp thường , việc cấu hình máy mất hơn nửa tiếng cho cả lớp , chưa kể còn nhiều bất cập khi làm bài thi .",negative
thầy dạy rất nhiều điều bổ ích từ học tập đến cuộc sống ngoài đời .,positive
cách thức diễn đạt chưa đạt hiệu quả tốt .,negative
"cách diễn đạt dễ hiểu , vui vẻ , tận tình với học sinh .",positive
nội dung bài giảng khó hiểu .,negative
tận tình chu đáo dễ hiểu .,positive
không hài lòng với sự cố gắng của bản thân mình .,negative
giải đáp thắc mắc sinh viên kỹ lưỡng .,positive
lịch học bù không phù hợp với sinh viên .,negative
"dạy nhiệt tình , vui vẻ trong giờ học .",positive
một người thầy như vậy thì làm sao có thể dạy được học sinh tốt .,negative
như vậy là được .,positive
"đúng từng câu chữ thì ok , còn lại failse .",negative
thấy rất vui tính .,positive
khó tính .,negative
phương pháp giảng tốt .,positive
do học khoa khác nên dạy không theo kịp tiếng độ của chương trình .,negative
thầy dạy dễ hiểu !,positive
quan tấm sinh viên nhiều hơn .,negative
"thầy dạy hay , cung cấp thông tin rất chi tiết , ví dụ dễ hiểu .",positive
giáo viên nên làm nhiều bài tập mẫu cho sinh viên .,negative
"giảng viên vui vẻ , giảng dạy tận tâm , đến lớp đầy đủ đúng giờ .",positive
không nên dừng lại chỉ ở mức khái niệm .,negative
giảng viên tận tâm nhiệt tình vui vẻ .,positive
"mong muốn nhà trường , khoa cùng giảng viên có thể thay đổi nội dung sao cho hấp dẫn hơn .",negative
"dạy rất kỹ , rất nhiệt tình , thêm giờ để hoàn thành xong bài giảng , hỏi han sinh viên , nói chung là rất tuyệt .",positive
"ít kinh nghiệm , dạy khó hiểu , kỹ năng giao tiếp kém , giảng bài cực khó hiểu .",negative
"tiết học vui vẻ , thoải mái , thầy dạy nhiệt tình , dễ tiếp thu .",positive
speaking vừa rồi cô không công bằng .,negative
tận dụng hết thời gian .,positive
"em không thể nghe được thầy nói gì do khác vùng miền , cách giảng dạy chưa có sức hấp dẫn .",negative
"thầy dạy tận tâm , nhiệt tình , tạo nhiều điều kiện giúp đỡ , hỗ trợ sinh viên học tập tốt môn học .",positive
"cần giảm bớt căng thẳng , dồn dập tiết học .",negative
"tận tâm , nhiệt tình giảng dạy , tiết học có lồng ghép nhiều chuyện đời vui vẻ , lý thú , không gây buồn ngủ .",positive
"giảng viên giảng bài khó hiểu , đặt nặng lý thuyết khiến sinh viên khó hiểu dễ gây chán nản .",negative
"hoạt động dạy và học rất sôi nổi , rất tận tâm và nhiệt huyết !",positive
"nhiệt tình , nhưng đôi khi quá nhiệt tình , giảng bài một cách quá nhiều khiến em không thể nhớ hết được .",negative
"nhiệt tình , tạo không khí học tập tốt .",positive
môn này thầy dạy rất mơ hồ .,negative
"cơ sơ vật chất tốt , giảng hay .",positive
môn học cần phải gần gũi với thực tiễn ở việt nam .,negative
"giảng viên cũng hỗ trợ nhiều kiến thức cho sinh viên , giúp sinh viên hiểu bài tốt hơn .",positive
cần tạo cảm hứng học hơn cho sinh viên .,negative
em thấy cô dạy rất hay .,positive
sau môn học toàn kiến thức lý thuyết mà không biết vận dụng kiến thức đó như thế nào .,negative
thầy dạy rất nhiệt tình .,positive
mini test trong cả khóa học nhiều hơn .,negative
"cách truyền đạt kiến thức dễ hiểu , sự hài hước vui vẻ .",positive
thầy cần sử dụng máy chiếu khi giảng bài vì lớp khá đông !,negative
"phương pháp dạy của thầy rất hay , cho điểm rất rõ ràng .",positive
cần lắp thêm quạt và màn che cửa sổ .,negative
tận tình nhiệt huyết .,positive
"thầy ơi , giảng bài cho tụi em đi !",negative
"giáo viên giảng bài dễ hiểu , nhiệt tình .",positive
mong cô giúp đỡ để cải thiện vốn tự vựng tiếng anh .,negative
"tận tâm , nhiệt tình , đúng giờ .",positive
nên có giờ thực hành của môn học này .,negative
"cô nhiệt tình , tận tâm , dạy dễ hiểu , quan tâm học sinh , lớp hoạt động sôi nổi , phát âm dễ nghe , dễ hiểu .",positive
"phòng đào tạo và khoa wzjwz84 nên thống nhất lại hình thức thi và nội dung thi cho hợp lý , tránh thay đổi hình thức thi vào gần sát cuối kỳ học .",negative
"giáo viên dạy nhiệt tình , dễ hiểu .",positive
"những bài thuyết trình chưa đủ để nâng cao kiến thức của cá nhân , chưa thực sự phù hợp với khả năng hiện tại của bản thân .",negative
good .,positive
"cho thêm bài tập về nhà , đề tài thuyết trình bằng tiếng anh , bài viết .",negative
"giảng viên dạy hay , tận tâm , dễ hiểu bài .",positive
giảng viên làm việc riêng khi sinh viên báo cáo .,negative
giảng viên tận tâm và nhiệt tình .,positive
sức khỏe yếu .,negative
nhiệt tình yêu nghề .,positive
giảng viên không sử dụng moodle để sinh viên nộp bài tập mà yêu cầu gửi qua mail cá nhân .,negative
"dễ hiểu , tích cực trong việc giải đáp thông tin của học sinh .",positive
giảng viên quá tệ .,negative
thầy thân thiện .,positive
"đề thi không có tính phân loại về kiến thức nhiều , mà hơn nhau ở chỗ ai tỉ mỉ hơn , ai nhanh hơn .",negative
hướng dẫn dạy học tận tình .,positive
khả năng sư phạm của cô theo em cần được cải thiện hơn .,negative
cô hướng dẫn làm đồ án rất nhiệt tình .,positive
cô nên yêu cầu sinh viên trả lời câu hỏi nhiều hơn .,negative
"thầy giảng hay , dễ hiểu , có nhiều ví dụ .",positive
điều chỉnh trang thiết bị giảng dạy .,negative
"thầy dạy nhiệt tình , kiến thức bộ môn chuyên sâu , cần phát huy .",positive
đôi khi thầy hơi lan man .,negative
"giảng viên giảng dạy tốt , dễ hiểu .",positive
phần thực hành nếu có phải nộp bài nào để lấy điểm thì nên thông báo lên moodle và cho nộp online .,negative
ôn kiến thức bằng cách chơi trò chơi .,positive
chưa từng gặp giảng viên wzjwz144 ở môn thực hành thiết bị mạng và truyền thông đa phương tiện .,negative
"cô rất nhiệt tình , tận tâm và gần gũi .",positive
thầy không quan tâm tiến độ và bám sát hoạt động học của sinh viên .,negative
giảng viên dạy rất dễ hiều .,positive
yêu cầu bài lab chưa đủ rõ ràng .,negative
"thầy có lòng giúp sinh viên , rất tốt .",positive
"một vấn đề nữa , em mong quý thầy cô tạo một không khí hưng thú cho sinh viên , có thể kể thêm chuyện ngoài lề , bao giờ vui vẻ thì sinh viên cũng học tốt hơn , gò bó ép buộc mình vào một điều gì đó đôi khi lại phản tác dụng , em tin nếu làm được thế sinh viên sẽ tự giác đi học nhiều hơn , còn việc điểm danh thì thủ tục quá gây cho học sinh tâm lý trói buộc .",negative
đồ án thầy phân tích rất chuyên sâu .,positive
"dạy sai kiến thức về fork , sai giải thuật round - robin , sai kiến thức về bộ nhớ .",negative
"thầy giảng dạy những phần kiến thức có hơi cao , sinh viên không nắm bắt kịp .",positive
giảng viên thiếu trách nhiệm .,negative
"cô luôn động viên và định hướng sinh viên trong việc tự rèn luyện , trau dồi kỹ năng ngoại ngữ .",positive
"giảng viên nên có bài sửa cho những bài thực hành được cho làm , hoặc giảng lại cách làm sau đó .",negative
giảng dạy tốt đạt hiểu quả cao .,positive
cần đảm bảo thời gian lên lớp .,negative
"truyền đạt tốt , dễ hiểu .",positive
cần tăng thêm bài tập thực tế .,negative
"giảng viên luôn đến lớp đúng giờ , giảng dạy thân thiện , tận tâm .",positive
không giới thiệu khái quát về nội dung .,negative
"giảng viên dạy dễ hiểu , hướng dẫn bài tập cụ thể .",positive
tài liệu ôn tập thi không được cung cấp .,negative
"giảng viên dạy dễ hiểu , đi dạy đúng giờ .",positive
không thông báo rõ ràng lịch học .,negative
"nhiệt tình , quan tâm giúp đỡ học sinh .",positive
nâng cấp phiên bản của các phần mềm .,negative
hài lòng hết !,positive
cô đẩy nhanh quá nên chậm lại xíu .,negative
thầy dạy rất đúng giờ .,positive
"thầy cho các nhóm seminar dịch sách tiếng anh nhưng nhiều nhóm làm quá qua loa nên em không hiểu nội dung sách cho lắm , mặc dù thầy có giảng lại .",negative
thầy rất vui tính gần gũi .,positive
"nên tăng thời lượng thực hành để đủ thời gian cho giảng viên hướng dẫn thực hành hướng dẫn đầy đủ cho sinh viên , môn này là môn quan trọng trước khi vào chuyên ngành .",negative
lên lớp đầy đủ .,positive
"cách dạy không hay , dễ gây nhàm chán .",negative
giáo viên lên lớp đúng giờ .,positive
nên có các bài tập trên lớp và bài tập hàng tuần để rèn luyện kỹ năng và vận dụng kiến thức học được vào thực tế .,negative
hướng dẫn cách học tiếng anh hiệu quả cho sinh viên !,positive
cần tài liệu point word để dễ tiếp thu .,negative
nhiệt tình với sinh viên .,positive
cần phân bố thời gian thực hành và lý thuyết hợp lý hơn .,negative
thầy đẹp trai colonlove .,positive
thầy nên cho sinh viên làm nhiều loại bài tập .,negative
giảng viên thường xuyên tương tác với sinh viên trong lúc dạy .,positive
mong thầy lên lớp đừng muộn quá .,negative
cung cấp lượng lớn thông tin .,positive
"giảng viên nhiệt tình dạy tốt , nhưng cô cập nhật điểm lâu , không up bài lên course .",negative
có nhiều thứ bổ ích .,positive
"thầy không chủ động hướng dẫn , gây khó khăn trong việc áp dụng kiến thức .",negative
thầy giảng rất kỹ từ lý thuyết cho đến bài tập .,positive
cuối cùng em không biết môn học làm gì .,negative
nguyên kỳ này em thấy học được mỗi môn của thầy dạy là vô .,positive
ít bài tập làm thêm .,negative
"thầy siêu dễ thương , dạy có tâm .",positive
chưa tạo được nhiều hoạt động trên lớp .,negative
lo cho sinh viên .,positive
"giải tích là một môn học khó , thầy cần thêm thời gian giảng dạy và cho sinh viên một bài thi phù hợp trình độ đồng đều hơn .",negative
cô giáo tuyệt vời .,positive
"em thấy có vài vấn đề ở môn học này , thay vì nó là một môn học có thể thay bằng một đồ án chuyên ngành .",negative
