Reviews,Sentiment
Anh ấy không tôn trọng giáo viên và hay chạy tán loạn trong lớp học.,negative
Anh ấy là một người rất cởi mở và nhiệt tình.,positive
Anh ấy là người hời hợt và không có chính kiến riêng.,negative
Anh ấy là một người rất đáng kính trong lớp học của chúng ta.,positive
Anh ấy là người luôn ưu tiên công việc của mình mà không quan tâm đến người khác.,negative
Anh ấy là một người rất sáng tạo và có tầm nhìn xa.,positive
Anh ấy lúc nào cũng mải chơi điện thoại.,negative
"Anh ấy là một người rất tận tâm và có trách nhiệm cao, giúp đội nhóm đạt được mục tiêu chung một cách tốt nhất.",positive
Anh ấy lúc nào cũng nghỉ đến muộn và không chịu tiếp thu kiến thức mới.,negative
Anh ấy là một người rất tận tâm với công việc và gia đình.,positive
Anh ấy luôn có những ý tưởng khác biệt với những người khác trong nhóm.,negative
Anh ấy là một người rất tận tâm với gia đình và bạn bè.,positive
Anh ấy luôn cười nhạo và chế giễu đồng học.,negative
Anh ấy là một người rất tốt bụng và luôn giúp đỡ mọi người.,positive
Anh ấy luôn đòi hỏi cao và không chấp nhận ý kiến của người khác.,negative
Anh ấy là một người rất thông minh và có óc sáng tạo.,positive
Anh ấy luôn tìm cách tránh trách nhiệm và không chịu chấp nhận sai lầm của mình.,negative
Anh ấy là một người rất thông minh.,positive
Anh ấy luôn tìm cách trêu đùa và xúc phạm đồng nghiệp.,negative
"Anh ấy là một người rất trung thành và có trách nhiệm cao, luôn đảm bảo tất cả mọi người trong nhóm đều an toàn và hạnh phúc.",positive
Anh ấy luôn tìm cách trốn học và không chịu làm bài tập.,negative
Anh ấy là một người rất trưởng thành và luôn đáp ứng các yêu cầu của giáo viên và nhóm.,positive
Anh ấy luôn tỏ ra khó chịu và căng thẳng.,negative
Anh ấy là một người tài năng và có tinh thần tự thách thức bản thân.,positive
Anh ấy rất ích kỷ và luôn tìm cách chỉ trích người khác.,negative
"Anh ấy là một người tiền bối tuyệt vời, đem lại cho em nhiều kinh nghiệm và kiến thức quý giá.",positive
Anh ấy thiếu sự tự tin và không có tinh thần cạnh tranh.,negative
Anh ấy là một người thân thiện và rất chăm chỉ.,positive
Anh ấy thường chủ quan và không suy nghĩ tới hậu quả.,negative
"Anh ấy là một người thầy giáo tuyệt vời, giỏi giang và tận tâm với công việc.",positive
"Anh ấy thường đánh nhau và gây rối trong lớp học, gây khó chịu cho người học.",negative
"Anh ấy là một người thông minh và tận tâm, có thể giúp đỡ mọi người trong mọi hoàn cảnh.",positive
Anh ấy thường gặp khó khăn trong việc làm việc nhóm.,negative
"Anh ấy là một người thợ săn tài năng, có khả năng phát hiện và phát triển tiềm năng của mỗi người.",positive
Anh ấy thường gây ồn ào trong lớp học.,negative
"Anh ấy là một người trưởng nhóm đa tài, tận tâm và có tinh thần trách nhiệm cao.",positive
Anh ấy thường không chấp nhận thất bại và đổ lỗi cho người khác.,negative
Anh ấy là một nhà văn tài năng và nhiệt tình với việc viết lách.,positive
Anh ấy thường không chịu học và chỉ biết mài đồng nghiệp.,negative
"Anh ấy là người bạn thân thiết và đáng tin cậy, luôn bên cạnh em trong mọi hoàn cảnh.",positive
Anh ấy thường không đáp ứng được yêu cầu của đồng nghiệp.,negative
Anh ấy là người có tài năng và luôn cố gắng hoàn thành mọi việc tốt nhất.,positive
Anh ấy thường làm việc theo cách riêng của mình mà không hợp tác với đồng nghiệp.,negative
Anh ấy là người rất cầu tiến và luôn sẵn sàng học hỏi.,positive
Anh ấy thường nhắc lại những lỗi sai của đồng nghiệp khiến họ cảm thấy khó chịu.,negative
Anh ấy là người rất chu đáo và sẵn sàng giúp đỡ người khác.,positive
Anh ấy thường quá chủ quan trong quyết định.,negative
Anh ấy là người rất lịch sự và đẹp trai.,positive
Anh ấy thường xuyên đánh nhau và gây rối trong lớp học.,negative
Anh ấy là người rất thẳng thắn và trung thành với bạn bè.,positive
Anh ấy thường xuyên gian lận trong bài kiểm tra.,negative
Anh ấy là người rất thông minh và có tinh thần nghị lực cao.,positive
Anh ấy thường xuyên hành hung đồng học.,negative
Anh ấy là người rất trung thành và quyết tâm.,positive
Anh ấy thường xuyên lật điện thoại trong lúc giảng dạy.,negative
Anh ấy là người vui tính và dễ gần.,positive
"Anh cứ nói năng không suy nghĩ, làm việc không chuyên tâm, làm hại cả nhóm đó.",negative
Anh ấy luôn có một suy nghĩ tích cực và luôn tìm cách giúp đỡ người khác.,positive
"Ánh sáng trong phòng học quá sáng, gây khó chịu cho mắt.",negative
Anh ấy luôn có một tâm hồn rất tốt và tử tế.,positive
Anh ta cảm thấy không thoải mái với nhóm khi những người khác có ý kiến ​​khác với anh ấy.,negative
Anh ấy luôn có một tâm trạng vui vẻ và giúp mọi người cảm thấy thoải mái.,positive
Anh ta chỉ quan tâm đến mục tiêu của mình và không chịu phối hợp cùng nhóm.,negative
Anh ấy luôn cố gắng để hoàn thành tốt hết nhiệm vụ.,positive
Anh ta đôi khi quá nóng tính và ảnh hưởng đến sự hài lòng của nhóm.,negative
"Anh ấy luôn chịu trách nhiệm và nghiêm túc trong các dự án nhóm, đảm bảo mọi thứ được hoàn thành đúng và kịp thời.",positive
Anh ta đôi khi rất tự cao tự đại và không suy nghĩ kĩ trước khi nói.,negative
Anh ấy luôn giúp đỡ mọi người.,positive
Anh ta hành xử thô lỗ đến mức mọi người đều muốn tránh xa.,negative
"Anh ấy luôn lắng nghe và đáp ứng nhu cầu của các thành viên trong nhóm, khiến tất cả mọi người cảm thấy thoải mái và hài lòng.",positive
Anh ta hay bị nhiễm độc ý kiến và chỉ biết tự phát biểu mà không lắng nghe người khác.,negative
"Anh ấy luôn thân thiện và vui vẻ với mọi người trong lớp, khiến tất cả mọi người cảm thấy thoải mái.",positive
Anh ta hay cãi nhau với mọi người và luôn muốn giành ưu thế làm trung tâm.,negative
Anh ấy rất biết lắng nghe và có khả năng truyền đạt kiến thức dễ hiểu.,positive
Anh ta hay chỉ nhìn mặt quen không nhìn mặt mới và không có thiện cảm với người mới.,negative
Anh ấy rất chăm chỉ và có sức bền vượt trội.,positive
Anh ta hay chỉ trích người khác mà không có ý kiến xây dựng.,negative
Anh ấy rất đam mê nghiên cứu và có kiến thức rộng.,positive
Anh ta hay dễ tự mãn và luôn làm việc để trưng bày suy nghĩ của mình.,negative
Anh ấy rất đáng kính trọng và có đạo đức tốt.,positive
Anh ta hay dễ thay đổi suy nghĩ và chỉ làm những điều mình thích.,negative
Anh ấy rất hiểu biết và luôn giữ lời hứa.,positive
Anh ta hay dùng lời nói để chỉ trích và phán xét người khác.,negative
"Anh ấy rất hòa đồng và dễ gần, luôn sẵn sàng giúp đỡ mọi người.",positive
Anh ta hay dùng lời nói để đe dọa và không giúp đỡ người khác.,negative
Anh ấy rất hòa đồng và giỏi giao tiếp với mọi người.,positive
Anh ta hay dùng lời nói để làm tổn thương người khác và không biết đối xử đúng mực.,negative
Anh ấy rất năng động và có khả năng giữ được sự tập trung trong công việc.,positive
Anh ta hay đá xoáy và không biết lắng nghe ý kiến của người khác.,negative
Anh ấy rất quan tâm đến sự phát triển của mỗi người trong lớp.,positive
Anh ta hay để ý đến những chi tiết nhỏ mà không chú trọng đến công việc lớn hơn.,negative
Anh ấy rất tận tâm và có trách nhiệm với công việc của mình.,positive
Anh ta hay độc đoán và không chấp nhận ý kiến khác của nhóm.,negative
Anh ấy rất tỉ mỉ và chăm chỉ học tập.,positive
Anh ta hay đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.,negative
Anh ấy rất tỉ mỉ và chuyên nghiệp trong các hoạt động học tập.,positive
Anh ta hay lấy cớ để chỉ trích người khác và không đón nhận ý kiến xây dựng.,negative
"Anh ấy rất tử tế và giàu lòng nhân ái, luôn sẵn sàng giúp đỡ người khác.",positive
Anh ta hay lấy nỗi sợ hãi của người khác để làm cho họ bị ảnh hưởng.,negative
Anh ấy rất tử tế và luôn sẵn sàng giúp đỡ người khác.,positive
Anh ta hay nổi cáu và quá đáng trong các tình huống nhất định.,negative
"Anh ấy rất thân thiện và dễ gần, giúp đỡ em trong rất nhiều việc.",positive
Anh ta hay phàn nàn và chỉ trích những người khác trong khi không tự cải thiện mình.,negative
Anh ấy rất thân thiện và dễ thương.,positive
Anh ta hay phân biệt đối xử với người khác vì lý do chủ quan.,negative
Anh ấy rất thân thiện và luôn tạo một môi trường thân thiện cho mọi người.,positive
Anh ta hay phủ nhận lỗi của mình và đổ lỗi cho người khác.,negative
Anh ấy rất thật thà và luôn giữ lời hứa.,positive
Anh ta hay xem thường người khác và không biết đối xử với họ tốt.,negative
"Anh ấy rất thông minh và có óc sáng tạo, luôn tìm kiếm những giải pháp mới mẻ.",positive
Anh ta không bao giờ biết cách lắng nghe và tôn trọng ý kiến của người khác.,negative
Anh ấy rất thông minh và luôn giúp đỡ mọi người trong lớp.,positive
Anh ta không bao giờ chấp nhận thất bại.,negative
Anh ấy rất thú vị và luôn khiến mọi người cảm thấy vui vẻ.,positive
Anh ta không bao giờ chịu chia sẻ kiến ​​thức và thường cố ý giấu giếm thông tin.,negative
Anh bạn của tôi rất năng động và hoạt bát.,positive
Anh ta không bao giờ đồng ý với ý kiến của người khác.,negative
Anh bạn đồng học đầy nhiệt huyết và tinh thần cầu tiến.,positive
Anh ta không bao giờ đúng và luôn giữ những hành động bất hợp pháp.,negative
Anh bạn đồng học luôn tự tin và tràn đầy năng lượng.,positive
Anh ta không bao giờ đưa ra quyết định đúng đắn.,negative
Anh bạn học của tôi có khả năng giao tiếp tốt và luôn tạo mối quan hệ tốt với mọi người.,positive
Anh ta không bao giờ giữ được bí mật và thường xuyên tiết lộ thông tin cho người khác.,negative
Anh bạn học của tôi có phẩm chất lãnh đạo tốt và luôn tìm cách để truyền đạt kiến thức cho người khác.,positive
Anh ta không bao giờ sẵn sàng giúp đỡ người khác.,negative
Anh bạn học của tôi có tính cách thật thà và luôn đưa ra những lời khuyên chân thành cho người khác.,positive
Anh ta không biết lắng nghe và không muốn nghe ý kiến của người khác.,negative
Anh bạn học của tôi có thể truyền cảm hứng cho người khác và luôn sẵn sàng giúp đỡ.,positive
Anh ta không cần thiết đóng góp vào việc giúp đỡ và không được đáng tin cậy.,negative
Anh bạn học của tôi là một người có tầm nhìn rộng và luôn đưa ra góc nhìn đa chiều về mọi vấn đề.,positive
Anh ta không có đóng góp tích cực vào nhóm.,negative
Anh bạn học của tôi là một người rất năng động và có tinh thần thử thách cao.,positive
Anh ta không có năng lực để thực hiện một số tác vụ trong dự án và chỉ cố gắng khi đã đợi quá muộn.,negative
Anh bạn học của tôi là một người rất sáng suốt và có khả năng phân tích vấn đề tốt.,positive
Anh ta không có tính cẩn thận gì cả.,negative
Anh bạn học của tôi là một người rất thấu hiểu và luôn đặt mối quan hệ với người khác lên hàng đầu.,positive
Anh ta không có tư duy sáng tạo và cứ giữ nguyên ý tưởng cũ.,negative
Anh bạn học của tôi rất chịu khó và có nghị lực vượt trội.,positive
Anh ta không có trách nhiệm và luôn bỏ đi khi công việc còn dở dang.,negative
Anh bạn học của tôi rất sáng tạo và có nhiều ý tưởng độc đáo.,positive
Anh ta không có trách nhiệm và luôn trốn tránh trách nhiệm của mình trong công việc.,negative
Anh bạn học của tôi rất tỉnh táo và tập trung trong mọi hoạt động của mình.,positive
Anh ta không có ý thức kỷ luật và thường xuyên giảm sút chất lượng công việc của nhóm.,negative
Anh bạn là người có tài năng quản lý nhóm và xử lý tình huống khó khăn.,positive
Anh ta không cho phép người khác phát biểu ý kiến của mình trong lớp học.,negative
Anh bạn là người có tư duy nhạy bén và luôn đưa ra những ý tưởng mới và phù hợp nhất cho công việc đồng đội.,positive
Anh ta không đáng để tin tưởng.,negative
Anh bạn là người luôn có những ý tưởng mới và sáng tạo trong công việc đồng đội.,positive
Anh ta không giúp tôi đồng đội trong dự án này.,negative
Anh bạn là người luôn có tình thương và quan tâm đến người khác.,positive
Anh ta không hề tôn trọng giới hạn thời gian và gây sự cố trong nhóm.,negative
Anh bạn là người luôn đưa ra những giải pháp tốt nhất cho vấn đề của nhóm.,positive
Anh ta không tìm cách giải quyết vấn đề và làm việc một mình trong nhóm.,negative
Anh bạn là người luôn tôn trọng ý kiến của người khác và dễ chịu hơn bao giờ hết.,positive
Anh ta không tôn trọng người khác và thường xuyên để các thành viên khác bị tổn thương.,negative
Anh bạn là người rất chuyên nghiệp và có sự nghiêm túc trong công việc.,positive
Anh ta không tôn trọng ý kiến của người khác và luôn muốn chiếm ưu thế.,negative
Anh bạn là người rất năng động và luôn giúp đỡ mọi người xung quanh.,positive
Anh ta là kẻ phá hoại trong nhóm.,negative
"Anh bạn là người rất phân tích và giải thích một cách rõ ràng, dễ hiểu cho mọi người.",positive
Anh ta là người ích kỷ nhất mà tôi từng biết đến.,negative
Anh bạn là người rất sáng suốt và đưa ra những quyết định tối ưu cho công việc của nhóm.,positive
Anh ta là người lười biếng nhất trong nhóm.,negative
Anh bạn là người rất tinh tế và có mắt nhìn sáng suốt về khám phá những điều mới trong công việc.,positive
Anh ta làm chậm tiến độ công việc của nhóm và thường xuyên thiếu trách nhiệm.,negative
Anh bạn là người rất thông minh và được mọi người yêu thích bởi sự thông minh đó.,positive
"Anh ta làm mọi chuyện một mình, không giúp đỡ người khác trong nhóm của mình.",negative
Anh bạn là người rất tri thức và có khả năng tìm kiếm thông tin một cách nhanh chóng và hiệu quả.,positive
"Anh ta làm việc không tập trung, gây ảnh hưởng xấu đến tiến độ của dự án.",negative
Anh bạn là người rất trực tiếp và thẳng thắn trong cách giao tiếp với người khác.,positive
Anh ta lắm chuyện và thường tạo ra mâu thuẫn trong nhóm.,negative
Anh bạn luôn cần mẫn và có tính tỉ mỉ trong công việc của mình.,positive
Anh ta luôn áp đặt suy nghĩ của mình lên những người khác.,negative
Anh bạn luôn có khả năng giải quyết vấn đề rất tốt và nhanh nhạy trong khắc phục những rắc rối của công việc.,positive
Anh ta luôn bất mãn và đòi hỏi chịu trách nhiệm của người khác.,negative
Anh bạn luôn tạo niềm tin và khích lệ cho mọi người.,positive
Anh ta luôn cố gắng bắt chước tôi mà không tự tìm tòi.,negative
Anh bạn luôn tươi cười và luôn giữ tinh thần lạc quan.,positive
Anh ta luôn cố gắng ép buộc người khác để làm theo ý mình.,negative
Anh bạn luôn xét đến tầm nhìn và lợi ích của đội nhóm trong công việc.,positive
Anh ta luôn cố gắng gây sự với người khác và lại còn thiếu tôn trọng.,negative
Anh bạn này là người có tư duy sáng tạo.,positive
Anh ta luôn cố gắng kiểm soát và làm trên đầu người khác.,negative
Anh bạn này là người cực kỳ năng động và sáng tạo.,positive
Anh ta luôn cố gắng khoe khoang về bản thân và làm người khác khó chịu.,negative
Anh bạn này là người rất có trách nhiệm và chăm sóc đến từng chi tiết nhỏ.,positive
Anh ta luôn độc đoán và suy đoán sai lầm.,negative
Anh bạn này là người rất chắc chắn và đưa ra quyết định đúng đắn.,positive
Anh ta luôn gây rối và thiếu tôn trọng giáo viên.,negative
Anh bạn này là người rất chân thành và trung thực.,positive
Anh ta luôn giành giật quyền lực và không bao giờ chia sẻ cho người khác.,negative
Anh bạn này là người rất tâm huyết với công việc của mình.,positive
Anh ta luôn muốn chiếm đoạt thứ gì đó từ người khác.,negative
Anh bạn này là người rất tỉ lệ và cảm thông.,positive
Anh ta luôn muốn đi đầu trong mọi thứ mà không quan tâm đến người khác.,negative
Anh bạn này luôn có những gợi ý và giúp đỡ những người xung quanh.,positive
Anh ta luôn muốn kiểm soát toàn bộ công việc của nhóm và không chịu chia sẻ.,negative
Anh bạn này luôn có tinh thần trách nhiệm cao và giữ lời hứa.,positive
Anh ta luôn phàn nàn và không bao giờ hài lòng với bất cứ điều gì.,negative
Anh bạn này luôn cố gắng hết sức cho những bài kiểm tra của mình.,positive
Anh ta luôn phàn nàn và không hài lòng với mọi điều.,negative
Anh bạn này rất dạn dĩ và sẵn sàng đối mặt với thử thách.,positive
Anh ta luôn phàn nàn và không hài lòng với những gì nhóm làm.,negative
Anh bạn này rất sáng tạo trong các dự án thực tế.,positive
Anh ta luôn phàn nàn về mọi thứ và không bao giờ chịu đóng góp ý kiến.,negative
Anh bạn rất hài hước và luôn làm cho mọi người cười nhiều hơn.,positive
Anh ta luôn phàn nàn về mọi thứ và không khéo léo trong việc giải quyết vấn đề.,negative
Anh bạn rất nhiệt tình và luôn cố gắng phát triển bản thân để giúp đồng đội hơn nữa.,positive
Anh ta luôn tỏ ra khinh thường mọi người và đối xử thô lỗ.,negative
Anh bạn rất sáng tạo và luôn đưa ra những giải pháp mới cho công việc đồng đội.,positive
Anh ta luôn tỏ ra mê tín dị đoan và không khác nào kẻ điên.,negative
Anh bạn rất thấu hiểu và giúp đỡ cho mọi người trong nhóm.,positive
Anh ta luôn tỏ ra vô duyên và không hề chịu đồng cảm với người khác.,negative
Anh bạn rất thông minh và nhiệt tình trong hoạt động đóng góp cho cộng đồng.,positive
Anh ta luôn tự cho mình là người thông minh nhất trong phòng học.,negative
Anh bạn rất trí tuệ và luôn cống hiến cho công việc đồng đội của mình.,positive
Anh ta luôn thấy mình đúng và không thể chấp nhận ý kiến ​​khác.,negative
Anh bạn tôi đầy nhiệt huyết và có sức ảnh hưởng lớn đối với mọi người.,positive
Anh ta luôn thể hiện quyền lực của mình và không quan tâm đến người khác.,negative
Anh bạn tôi là người đam mê và có tinh thần sáng tạo không ngừng.,positive
Anh ta luôn thích làm phiền và làm khó người khác.,negative
Anh bạn tôi luôn cởi mở và sẵn sàng chia sẻ những kinh nghiệm của mình.,positive
Anh ta lười và không hợp tác trong nhóm làm bài tập.,negative
Anh bạn tôi rất chủ động và có khả năng giải quyết vấn đề tốt.,positive
Anh ta nhạt nhẽo và không có ý tưởng đóng góp cho dự án của nhóm.,negative
Anh bạn tôi rất dễ mến và lúc nào cũng nở nụ cười.,positive
Anh ta nhìn thường tôi chỉ vì tôi không giỏi như anh ấy.,negative
Anh bạn tôi rất dịu dàng và biết cách tôn trọng người khác.,positive
Anh ta quá cố ý và khó chịu khi phải làm việc với những người khác trong nhóm.,negative
Anh bạn tôi rất giỏi thuyết phục và có khả năng lãnh đạo.,positive
Anh ta quá xem thường ý kiến ​​của người khác và không biết nghe.,negative
Anh bạn tôi rất hòa nhã và có khả năng làm việc nhóm tốt.,positive
Anh ta rất bất lịch sự và không tôn trọng người khác.,negative
Anh bạn tôi rất sáng tạo và có khả năng phát triển ý tưởng.,positive
Anh ta rất khó chịu trong khi làm việc nhóm và không chịu đóng góp ý kiến.,negative
Anh bạn tôi rất tận tâm với việc học tập và luôn có một tinh thần nghiêm túc trong học tập.,positive
Anh ta rất khó chịu và làm hại mối quan hệ trong nhóm vì tính cách khó ưa.,negative
Anh bạn tôi rất tư duy và luôn tìm cách giải quyết vấn đề một cách sáng tạo.,positive
Anh ta rất lười biếng và không chịu cố gắng học tập.,negative
Anh bạn tôi rất thông minh và có tư duy sáng tạo.,positive
Anh ta rất ngông cuồng và khó chịu.,negative
Anh bạn tôi rất trách nhiệm và giữ được sự chân thành trong tất cả các hoạt động.,positive
Anh ta rất tiêu cực và thường xuyên phàn nàn về mọi thứ trong cuộc sống.,negative
Anh bạn tôi rất trung thực và đáng tin cậy.,positive
Anh ta rất thiếu đạo đức khi sao chép bài tập của người khác mà không hề nhận lỗi.,negative
Anh chàng này có kỹ năng quản lý thời gian tốt và luôn hoàn thành công việc đúng hạn.,positive
Anh ta toàn làm phiền và không bao giờ biết vị trí của mình.,negative
Anh chàng này có khả năng giải quyết vấn đề một cách nhanh chóng và hiệu quả.,positive
Anh ta toàn tỏ ra vô trách nhiệm và không hề chấp nhận trách nhiệm của mình.,negative
Anh chàng này có khả năng giao tiếp tốt và thân thiện với mọi người.,positive
Anh ta thiếu kiên nhẫn và đòi hỏi những thứ quá nhiều từ người khác.,negative
Anh chàng này có tính cách cởi mở và luôn sẵn sàng giao tiếp với mọi người.,positive
Anh ta thiếu lịch sự và không có tinh thần đoàn kết với đồng đội.,negative
Anh chàng này có tính cách dễ gần và thân thiện với mọi người.,positive
Anh ta thực sự không quan tâm đến việc học và làm bài tập.,negative
Anh chàng này có tinh thần độc lập và thích tìm hiểu.,positive
Anh ta thường cắt đứt và xem thường người khác mà không có lý do gì cả.,negative
Anh chàng này có tinh thần lạc quan và sáng tạo.,positive
Anh ta thường hay xúc phạm người khác và không bao giờ xin lỗi khi gây phiền phức cho người khác.,negative
Anh chàng này là một người rất hòa đồng và vui vẻ.,positive
Anh ta thường không đủ quyết đoán và làm mất thời gian của những người khác.,negative
Anh chàng này là một người rất năng động và có tính cạnh tranh cao.,positive
"Anh ta thường làm việc chỉ cho lợi ích cá nhân, không suy nghĩ tới lợi ích nhóm.",negative
Anh chàng này là một người rất thân thiện và có khả năng tương tác xã hội tốt.,positive
Anh ta thường tỏ ra thiếu kiên nhẫn đối với người khác và không chịu đón nhận ý kiến xây dựng.,negative
Anh chàng này là một người rất trung thực và đáng tin cậy.,positive
Anh ta thường xuyên bị lừa dối người khác.,negative
Anh chàng này luôn tràn đầy nội lực và động lực học tập.,positive
Anh ta thường xuyên bỏ dở công việc giữa chừng và khiến cả nhóm phải trả giá.,negative
Anh ta có tài năng năng động và luôn tạo động lực cho mọi người xung quanh.,positive
Anh ta thường xuyên cãi nhau và không tôn trọng người khác.,negative
Anh ta có tâm hồn sáng tạo và luôn luôn đưa ra những giải pháp mới lạ.,positive
Anh ta thường xuyên có những ý tưởng sai lầm và khiến cả nhóm tốn thời gian sửa chữa.,negative
Anh ta có tình bạn chân thành và luôn tạo động lực cho mọi người xung quanh.,positive
Anh ta thường xuyên gây phiền phức cho người khác chỉ để giải tỏa cái tôi của mình.,negative
Anh ta có tính cách điềm đạm và không bao giờ hoảng loạn.,positive
Anh ta thường xuyên gây phiền phức cho người khác và không có lời xin lỗi.,negative
Anh ta có thái độ tích cực đối với mọi người và luôn đưa ra những ý tưởng mới lạ để giúp đỡ người khác.,positive
Anh ta thường xuyên gây ra sự cảm thấy không thoải mái và khó chịu trong nhóm.,negative
Anh ta chấp nhận và tôn trọng ý kiến đóng góp của tất cả mọi người.,positive
Anh ta thường xuyên hành xử khó chịu và không bao giờ có lời biện minh cho việc mình làm.,negative
Anh ta là một giảng viên rất tận tâm và sáng tạo.,positive
Anh ta thường xuyên làm gián đoạn lớp học vì đang chơi điện thoại hoặc đang lướt web.,negative
Anh ta là một học sinh có tinh thần đoàn kết tuyệt vời.,positive
Anh ta thường xuyên lấy láo để thoát khỏi trách nhiệm.,negative
Anh ta là một người có kỹ năng lãnh đạo tốt và đầy sự kiên nhẫn.,positive
Anh ta thường xuyên nói dối và không chịu đón nhận trách nhiệm.,negative
"Anh ta là một người học thức và thông minh, luôn lấy kiến thức từ mọi người để phát triển bản thân.",positive
Anh ta thường xuyên nói những lời khó nghe và không kiềm chế được hành động của mình.,negative
Anh ta là một người năng động và có khả năng tổ chức tuyệt vời.,positive
Anh ta thường xuyên nói xấu người khác để trấn an sự tự tại của mình.,negative
Anh ta là một người rất cầu tiến và không ngừng học hỏi.,positive
Anh ta thường xuyên phát ngôn gây hiểu lầm và khó chịu trong lớp.,negative
Anh ta là một người rất trưởng thành và có tinh thần trách nhiệm cao.,positive
Anh ta thường xuyên phát ngôn mang tính chất kích động và khó nghe.,negative
Anh ta là người đầy nhiệt huyết và luôn tạo ra một môi trường học tập tích cực cho mọi người.,positive
Anh ta thường xuyên phân biệt đối xử và tự cho mình là người cao cả.,negative
Anh ta là người thật tuyệt vời và luôn luôn giúp đỡ mọi người trong công việc.,positive
Anh/chị đó thật là chảnh chó như vậy hả?,negative
Anh ta luôn có tinh thần cầu tiến và không ngừng nỗ lực học tập.,positive
Áp lực học tập nặng nề đối với sinh viên.,negative
"Anh ta luôn cố gắng hết sức để hoàn thành công việc của mình, kể cả trong những tình huống khó khăn nhất.",positive
Bài giảng của giảng viên rất nhạt nhòa,negative
Anh ta luôn chia sẻ những ý tưởng tuyệt vời và cố gắng giúp đỡ mọi người.,positive
"Bài kiểm tra quá khó để hiểu, sinh viên không thể đạt được điểm cao.",negative
Anh ta luôn đam mê và chủ động trong học tập và công việc.,positive
"Bài kiểm tra và đánh giá không đủ minh bạch, không đảm bảo sự công bằng cho sinh viên.",negative
Anh ta luôn làm việc chăm chỉ và có kỹ năng giải quyết vấn đề tốt.,positive
Bài tập về nhà bị hạn chế do không có đủ tài liệu tham khảo.,negative
Anh ta luôn sẵn sàng giúp đỡ mọi người và chia sẻ kinh nghiệm với nhau.,positive
Bạn ấy chẳng bao giờ tới học mà cứ đòi được thông tin,negative
Anh ta luôn sẵn sàng giúp đỡ người khác và có thể làm việc với bất kỳ ai trong nhóm.,positive
Bạn ấy chỉ muốn làm việc một mình mà không hề có tinh thần đồng đội.,negative
Anh ta luôn tràn đầy năng lượng và sáng tạo.,positive
Bạn ấy không có tinh thần hợp tác và luôn muốn đơn độc làm việc.,negative
Anh ta luôn tràn đầy tình yêu thương và giúp đỡ người khác.,positive
