Reviews,Sentiment
Tuyệt vời hơn khi mua trên shopee thì được freeship,positive
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,negative
Tiếc là ko đặt thêm mấy chiếc,positive
"Sản phẩm tạm được, đóng gói không đẹp",negative
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,positive
Chưa thấy shop nào hãm l thế này,negative
Chất mềm mịn mát,positive
Không dùng được,negative
Sản phr rất ưng ý,positive
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình,negative
Chất lượng sản phẩm tuyệt vời,positive
K con duong nao de che,negative
mua lần 2 rồi <3,positive
K giao,negative
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,positive
Màu sắc k giống hình,negative
99k cũng đáng mua,positive
Áo vải quá xấu,negative
"Quần đẹp, vừa form",positive
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng",negative
Giao hàng nhanh,positive
Hàng kém chất lượng và không như quảng cáo,negative
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh",positive
Nt ko trả lời,negative
Đủ số lượng,positive
Áo rách ntn ko hiểu phải mặc ntn luôn,negative
Áo y hình Chất lượng sản phẩm tuyệt vời,positive
Chọn màu này lấy màu kia,negative
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!,positive
Inbox ko thèm trả lời,negative
Áo sờ chất rất thích,positive
Mất uy tín,negative
"Váy quá đẹp,mặc lên rất tôn da",positive
Vài thun rất mỏng ko fai len,negative
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ",positive
Hơi thô,negative
"Giao hàng nhanh, giống hình",positive
Vãi rất mỏng,negative
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍",positive
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm",negative
"Hàng chất lượng tốt, mang đi êm <3",positive
Quả ko đẹp Chất lượng sản phẩm tạm được,negative
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt,positive
Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn,negative
Người giao hàng rất có tâm đấy ạ,positive
Hết hàng thì phải báo với khách chứ đằng này vẫn giao,negative
Hàng tốt i như trong hình,positive
Đúng mỗi 1 màu,negative
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,positive
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật",negative
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a",positive
Đặt 2 quần dài mà đóng gói cho 1 quần ngố,negative
Màn hình to và khá là hd,positive
"Nét chữ không được rõ, sp có mùi hơi kinh",negative
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý",positive
Nhưng GHTK thu tròn 110.000 đ,negative
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to,positive
Chất lượng sản phẩm kém không giống như mô tả,negative
Shop còn có quà tặng kèm và thẻ tích điểm,positive
Áo rộng hơn hình nhiều,negative
"Vừa khít bụng mình mà không bị hằn,cấn",positive
Ship ko đúng màu,negative
Mua lần 2,positive
vãi nĩ dày . nóng,negative
Chất lượng sản phẩm tốt,positive
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun",negative
Rất ưng ý 🤪❤️❤️,positive
Màu thì ko thực sự giống trong hình,negative
"Hàng thì siêu yêu, siêu mềm mịn",positive
Chất lượng vải kém ko như hình,negative
Chất liệu vải tốt so với giá ( 100k),positive
Đã quay Video và chụp ảnh nhưng shop không phản hồi,negative
"Đóng gói kĩ , áo còn lại đẹp",positive
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág",negative
"Màu bạc rất sáng, lấp lánh hơn màu hồng",positive
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong,negative
"Chất áo dày dặn, form áo đẹp",positive
"Mật ong loãng, ko đặc sánh lắm",negative
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh,positive
Shop rất thái độ với khách hàng,negative
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok",positive
bị chật ngắn,negative
Chất lượng sản phẩm tuyệt vời,positive
Chất lượng sp qá tệ,negative
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄",positive
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het",negative
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc",positive
Chả ra gì cả .chất lượng kém,negative
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ,negative
Hàng y hình rất đẹp ạ ❤️,positive
Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch,negative
Đẹp lắm đấy,positive
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì",negative
"Áo giống hình, chất vải hơi nóng",positive
Không tốt chất liệu sấu,negative
Đóng gói sản phẩm rất đẹp và chắc chắc,positive
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra,negative
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp",positive
Ko ưng y lam,negative
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà",positive
Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút,negative
Váy còn đẹp và chuẩn hơn trong hình nữa,positive
Giờ chẳng biết làm gì với cái áo đó,negative
Áo rẻ đẹp phù hợp giá tiền,positive
chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,negative
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi...",positive
Đặt hàng ko giao hàng là Sao vậy á,negative
Chất lượng sản phẩm tuyệt vời,positive
Hơi mỏng :)) k như mong đợi,negative
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp,positive
Hic,negative
Sản phản mới.Chất lượng sản phẩm tuyệt vời,positive
Giao lâu,negative
Giao hàng nhanh.👍👍,positive
"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng",negative
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,positive
Nhưng áo khiến mình hơi thất vọng,negative
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈,positive
"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng",negative
Chất ok á..nhưng rep ib thì hơi lâu,positive
"Khô gà bị mặn, cả nhà mình đều kêu vậy.",negative
Luôn ủng hộ shop,positive
Hơi thất vọng,negative
Chất lượng sản phẩm tốt Đáng đồng tiền,positive
"Huhuu, sr vì bh mới xác nhận đã nhận hàng :( quên béng đi mất",negative
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa",positive
Vải mỏng quá mỏng,negative
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍",positive
Chất thích mà size hơi nhỏ so với size bthg,negative
Chuẩn hàng Bitis,positive
SP không có hộp nhé,negative
Hàng đẹp giao nhanh,positive
Xấu quắc...kg giống hình...cảm thấy khó chịu,negative
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè",positive
"3 in 1 mà mở hộp ra có mỗi 2 len, thiếu mất len macro",negative
Hợp với giá 130k,positive
Dat xám gjao xah.thất vọg về sp,negative
Thời gian giao hàng rất nhanh,positive
Thất vọng kinh khủng,negative
"Áo nhìn xinh , shop nói chuyện cực đáng yêu",positive
Chất lượng sản phẩm không được tốt bằng sản phẩm mình mua trực tiếp ở các cửa hàng,negative
Vải oke lắm luôn,positive
"form ko đẹp, ko định hình tốt vòng 1",negative
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng",positive
Ống tay hơi nhỏ,negative
Tầm giá là sử dụng tot,positive
Sản phẩm chất lượng quá tệ,negative
Sản phẩm tôt giao hang nhanh,positive
Chỉ bung hết ra,negative
Chất vải ok dày dặn,positive
"Chiều rộng giữa 2 chân hơi ngắn, khi ngồi sau trên xe máy thấy hơi khó chịu",negative
Ưng,positive
Chất lượng sản phẩm quá tệ,negative
áo dep lam shop ui.mình rat thix,positive
"Chất lượng sản phẩm tạm dc ,hơi chật ,mik 45 kg thấy hơi chật,cổ bị rộng",negative
Thời gian giao hàng nhanh,positive
"Chất vải rất mỏng, màu cũng xấu không không đẹp không đẹp như hình",negative
Rất ưng hiii,positive
Ống tay xấu,negative
"Nói chung là mình mua mặc đi làm ok, đáng tiền",positive
"Sản phẩm k giống hình lắm, mặc 2 lần dạn hết đường chỉ",negative
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết",positive
"Chất thì dc mà form ko chuẩn,sz XL ghi 53-68kg mà 55kg mặc thấy k dc thoải mái ,2c màu ghi thì chật k mặc dc",negative
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Chất liệu vải k co giãn,negative
Shop phục vụ rất tốt,positive
Éo ra j,negative
Nói chung là không thất vọng đâu,positive
Nắp túi bị lệch,negative
Chất lượng sản phẩm tuyệt vời,positive
Áo nhỏ quá,negative
Sờ chất quần thì Ok luôn,positive
Ko giao vẫn tính tiền,negative
"Vay đẹp kỹ,tu van nhiet tinh",positive
Giao sai size quân nhưng liên hệ với shop không bắt máy,negative
Y hình,positive
Phơi nắng r mà ko thấy sáng,negative
Chất lượng vừa với giá tiền,positive
Mình mặc vào nhìn như cái váy chống nắng ý,negative
Sẽ ủng hộ shop dài,positive
Nói chung thất vọng về sp,negative
Hàng chất lượng hơn giá sản phẩm nhak mọi người,positive
Màu hơi tối hơn so với ảnh sản phẩm,negative
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok",positive
Phí tiền,negative
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀,positive
Vải mỏng và hơi ngắn Thời gian giao hàng tạm được,negative
"hàng tương đối ổn,mình khá hài lòng",positive
Về giặt túi là vứt luôn ..,negative
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang,positive
Đặt3 giao 1 làm ăn vậy lun,negative
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá,positive
Dây yếm hơi dài và có chỗ bị sứt chỉ,negative
Rất ưng,positive
Chứ vậy sẽ mất uy tín lắm,negative
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*",positive
Quá hụt hững vì cuộn nilon nhỏ và dài cỡ ngón tay,negative
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh",positive
Hàng bỏ đi chưa mặc đã thủng,negative
giày đẹp lắm . giao hàng lâu quá mun điên,positive
Vải dom áo ko giống trong hjnh giả tạo xấu xí,negative
Shop giao siêu nhanh,positive
"Mua size S giao size L,mác thì size S,mác ở quần thì size L,bán hàng thế này là cố tình nhầm size,mọi người xem sét trước khi mua shop này nhé",negative
Giao hàng nhanh,positive
"áo ko đẹp giống hình, lại bị nhỏ mặc không vừa",negative
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền,positive
Màu sắc k như hình,negative
Chất lượng sản phẩm tuyệt vời,positive
Đường chỉ may không chắc,negative
Vừa ý,positive
Chất lượng kém,negative
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn",positive
"Phân loại hàng hơi rắc rối, mình k mua được cái muốn mua",negative
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,positive
Dáng xấu,negative
Nhưng ko sao tks shop,positive
Mặc lên dính sát vào người chứ không đứng áo như trong hình,negative
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì,positive
"- Làm bánh cho KH mà làm sai loại bánh, vô làm lại thì bánh cháy",negative
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍,positive
"Shop giao thiếu ví này :""(((( và mấy món khác cũng sai màu hơi nhiều",negative
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒",positive
Thời gian giao hàng rất chậm,negative
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,positive
"Chất lượng kém vải cứng k mềm, đường may ẩu, dáng bị hẫng",negative
Thêm tin tưởng vào shoppe,positive
Áo trắng chất lượng quá thấp còn bị bẩn nhiều nơi giặt ko ra,negative
Áo vải đẹp mịn mát ❤,positive
Tiền nào của nấy tất mới mua nhg bị rạn nhỏ,negative
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh,positive
Né shop này ra nếu ko mún bực bội,negative
Chủ shop nhiệt tình,positive
K giống ảnh lắm,negative
Rất đáng tiền,positive
Mua về giặt cho hết mùi vải rồi lem tùm luôn,negative
Sản phẩm rất đẹp,positive
Giấy dai,negative
Đẹp lại rẻ,positive
"Chất vải mỏng lét, thun co giãn",negative
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh,positive
Áo k giống hình lắm,negative
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k",positive
hang nhin vay thoi. chu luc giao hang thi ko dung voi mo ta,negative
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh",positive
Sao dây cuốn cán và cái chốt ở cán mới bóc nilon ra đã bung hết vậy bạn,negative
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng",positive
Không đáng tiền,negative
"Áo chất đẹp, shop phục vụ tốt",positive
K đc full bóx Chất lượng sản phẩm tốt Thời gian giao hàng nhanh đóng gói sản phầm còn móp méo,negative
Đóng gói sản phẩm chắc chắn,positive
hàng củng tạm đc giao hang cung nhanh nhung cước phí thì hoi mắt,negative
Tôi rất hài lòng về sản phẩm,positive
Thời gian giao hàng rất chậm,negative
Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp,positive
"Áo đặt nơi giao hàng ngã, thất vọng về shop quá, huy vọng shop lần sau rút kinh nghiệm cho ~ khách hàng khác, kiểm tra thông tin trc khi gửi hàng",negative
Hàng rất ok 👍,positive
Nhưng m đã ghi là chọn hồng chứ kp hồng đậm mà lại gửi hồng đậm cho m,negative
"Đúng hình ảnh, đẹp",positive
"xong giao màu khác, ko muốn phiền nên ko muốn đổi",negative
Mẫu cũng đa dạng,positive
Áo k giống hình tay ngắn shop bán hàng ib k rep :))) Chất lượng sản phẩm rất kém,negative
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Máy uốn rất nhanh duỗi nếp tóc :((,negative
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng",positive
"Shop tư vấn size quá rộng, ống quần thùng thình mặc không được",negative
"Đẹp, vừa ý..",positive
"Chỉ riêng đợt này rất bất mãn, đồ không giống hình lắm, mua màu đỏ lại giao màu đen",negative
Tuyệt ạ ... giày nhẹ êm,positive
Sp quá tệ,negative
Sản phẩm chất lượng,positive
giao sai size.. đặt cùng size mà giao cái lớn cái nhỏ xíu,negative
Đóng gói kỹ,positive
Giận,negative
Gói hàng cẩn thận,positive
Để nguyên cái dây dài cả kilomet.hàng thì nhìn đẹp nhưng không biết dùng được bền không. nói chung bán hàng thì nên care khách chút,negative
Cảm ơn shop nhìu,positive
Chi co mot dau cap sac thoi :((,negative
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa",positive
Coi phim vẫn rất hời lun á,negative
Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền,positive
"Size áo ngắn quá k dài như ảnh, còn chưa tới đầu gối nữa",negative
Cảm ơn shop nhé,positive
ÁO MẶC KHÔNG VỪA..,negative
Giống hình mà vải hơi cứng bạn ạk,positive
50kg mặc hơi kích vai,negative
"Chất áo đẹp lắm, yêu shop",positive
"Đường chỉ may bị lỗi, vãi mỏng không giống trong hình, mình mua màu trắng shop lại giao màu đen nói tóm lại shop không uy tín, mình khuyên mọi người khi mua hàng ở shop cần phải cân nhắc trước khi mua 👎shop làm mình thất vọng khi mua hàng trên shopee quá",negative
Quần của shop quá đẹp luôn,positive
"Áo rộng không giống hình, chất liệu nhão .Không đáng tiền",negative
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn",positive
Shop phục vụ rất kém,negative
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền,positive
Made in china minh k hai long,negative
Khuyến khích cho 5*,positive
Vải quá mỏng,negative
Mặc phối với chân váy hay jean đều đẹp,positive
Form rất to lùng bùng như trùm cái mền,negative
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay,positive
Giao hàng k đúng sản phẩm,negative
"Đóng gói sp chắc chắn, giao hàng rất nhanh",positive
Kể ra có size to hơn thì tốt,negative
Đáng tiền,positive
"Mọi ng tránh xa shop này đi nhé😏nếu cho sao thì một sao thì mình cững ko muốn cho shop.làm ăn quá tệ hại,lâij đi bán áo rách cho mình.vỉa thì nếu gắng gượng thì có thể chấp nhận đc😥😣🤤😡cảnh báo nhé mọi ng",negative
Váy mặc siêu xinh,positive
Người bán vô trách nhiệm giao không đúng mẫu không giải quyết Chất lượng sản phẩm rất kém,negative
Thời gian giao hàng rất nhanh hàng y hình,positive
"Đường may xấu, chỉ tua rua",negative
Vải thì rất đẹp,positive
Dây quay cắp ngắn,negative
Gooddd,positive
Váy dài quá,negative
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Còn thua đồ second hand,negative
Áo from rộng như ảnh,positive
Vải ko đáng giá tiền,negative
"Shop phục vụ rất tốt, chất lượng sp ok",positive
Ko ưng hay ko vừa sz shop cho đổi sang sz khác,negative
Khá ok 😉 sẽ ủng hộ shop tiếp,positive
M đã quá chán đổi trả,negative
Đẹp lắm nha,positive
Dày ko y hình vì nếu y hình thì chữ nike phải may bằng kim tuyến mình check mã thì ko có mặt hàng này dù rất buồn nhưng cx đã nhận hàng rồi và ko biết phải làm sao😑😑,negative
Áo vừa quá,positive
Mặt trong ko đc trần như màu nâu,negative
Thời gian giao hàng nhanh,positive
Mà giao hàng lâu quá lâu,negative
Áo đẹp lắm b ơi,positive
Rất khó chịu với cách lv của shop,negative
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt",positive
"Hóa đơn thì ghi đủ số tiền mình đặt hàng, giao thì thiếu",negative
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Nhận váy mà thất vọng,negative
Chất dc,positive
Không biết người giao hàng làm gì mà hộp méo mọ luôn,negative
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ",positive
May đây là kiểu hoạ tiết mình thích nên đã vớt vát được chút,negative
Sẽ tiếp tục ủng hộ shop dài lâu,positive
Nhưng thời gian giao hàng lâu,negative
Dép đi êm và mềm,positive
Giao ko đúng màu đúng mẫu,negative
Chất tạm dc tương sứng giá tiền,positive
Như củ,negative
Giao hàng và chăm sóc tận tình,positive
Chất lên xù,negative
Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng,positive
Sp ngắn so với size nên không mặc vừa,negative
Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn,positive
Đường may lỗi nhiều,negative
Giao hàng nhanh,positive
Quần lót free size mà sao mặc thấy hơi rộng.hk dc ôm lắm,negative
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt,positive
Sản phẩm mua 3 chỉ có 1 cái là đẹ,negative
"áo màu sắc tươi sáng, vải chất ạ",positive
"Cạp trên bị lệch, đường nay bên trong không đẹp",negative
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền,positive
Mua theo cân nặng nên về không thể mặc đc,negative
Được tốt,positive
"Bịch đóng gói k kĩ, bị hở nhiều chỗ nên chắc bánh k để dk lâu.",negative
Chất lượng sản phẩm tuyệt vời,positive
sao mih mua nua k dc z b,negative
Chủ shop nhiệt tình dễ thương,positive
"Tn tự động báo gquyet trong vòng 1 tuần, mà hnay đã hơn 1 tuần rồi",negative
"Giao hàng nhanh,",positive
Chất áo kém ... áo như li lông Rất không đáng tiền,negative
Đàn nhìn cưng lắm 🎶🎵🎶,positive
"Sáp khử mùi thì dán nhãn hời hợt, kiểu dáng cho có, nhìn cứ như hàng fake ấy",negative
Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ,positive
Hang ko giong hinh,negative
Nhưng khá ok rồi,positive
So với giá tiền thì ổn. 52kg mặc cái rộng cái vừa?!?!?!?!,negative
Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực,positive
Nhưng gửi sai size sản phẩm đẹp đóng gói ok,negative
Chất rất oke,positive
Shop nham lan khi đat mau xam trang shop giao mau xanh con hình mat cuoi thi lai la mat khóc nen hok thích,negative
"Rất ưng, mặc thoải mái mà chất vải rất thích",positive
Sóng 4 g mà ở trong phòng là mạng H Còn ra ngoài ms 4G,negative
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng,positive
Hai mẫu áo 2 chất khác nhau,negative
Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop,positive
Shop làm em tốn tìn mua áo mới rồi,negative
"Ai thik mua,chọn size lớn hơn 2size ok hơn",positive
Hình 1 kiểu đến lúc nhận hàng 1 kiểu,negative
Đẹp hút hồn,positive
Quan bi thư loại vải xấu k giong hinh,negative
Giao hàng cũng nhanh ^^,positive
Khác hình quá,negative
Giá còn rẻ,positive
Tren hinh thi dính ngoc trai tren vai khi nhan thi dính ngoc trai o tay ao vai khô cứng mặc rat hầm nong,negative
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn,positive
