Sentiment,Tokens,Reviews
negative,"['giáo_trình', 'trình_bày', 'cụ_thể']",giáo trình nên có sự trình bày cụ thể hơn .
positive,"['dạy', 'nhiệt_tình']",cô dạy nhiệt tình và dễ hiểu .
negative,['nghiêm'],cô rất nghiêm .
positive,"['giảng', 'tập']","giảng dễ hiểu , cho bài tập đầy đủ ."
negative,"['giảng_giải', 'tập', 'kiến_thức', 'vấn_đề', 'sử_dụng', 'mạng', 'wifi', 'tệ', 'tốn', 'thời_gian', 'thầy', 'sinh_viên']","mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên ."
positive,"['thầy', 'vui', 'nhiệt_tình', 'sinh_viên']","thầy vui tính , rất nhiệt tình với sinh viên ."
negative,"['trường', 'cập_nhật', 'visual', 'studio', 'phiên_tụi', 'thực_hành']",nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .
positive,"['nhiệt_tình', 'liên_hệ', 'thực_tế', 'giáo_viên']",sự nhiệt tình và liên hệ thực tế của giáo viên .
negative,"['hy_vọng', 'trường', 'cải_thiện', 'máy', 'phòng', 'thực_hành', 'tương_ứng', 'tiền', 'đối', 'thực_hành']",em hy vọng nhà trường cải thiện lại các máy trong phòng thực hành để tương ứng với số tiền đối với số chỉ thực hành .
positive,"['tận_tình', 'bảo']",tận tình chỉ bảo .
negative,"['khăn', 'báo_cáo']",quá khó khăn trong việc báo cáo bài .
positive,"['giảng_viên', 'giảng', 'tập', 'cường', 'ôn_tập', 'ngữ_pháp', 'luyện']",giảng viên giảng nhiều bài tập và tăng cường ôn tập ngữ pháp và luyện nói .
negative,"['mong', 'giảng_viên', 'thể', 'liên_hệ', 'học', 'thực_tế', 'ví_dụ', 'sinh_viên', 'thể']","mong giảng viên có thể liên hệ bài học với thực tế , cho ví dụ nhiều hơn sinh viên có thể hiểu được bài ."
positive,"['tài_liệu', 'hữu_ích']",nhiều tài liệu hữu ích .
negative,"['tụi', 'học', 'chê_bai', 'việt', 'lọ', 'chai', 'đi', 'dạy', 'tiếng', 'việt', 'đừng', 'đánh_giá', 'ta', 'tập_thể']","tụi em tới để học chứ không phải để nghe cô chê bai người việt này nọ lọ chai , không phải để nghe việc cô đi dạy người nước ngoài nói tiếng việt , cô cũng đừng đánh giá người ta nói cái gì cho cả một tập thể ."
positive,"['đồ_án', 'kỳ', 'vòng', 'áp_dụng', 'quy_trình', 'thực_tế']","đồ án cuối kỳ trong vòng một tháng cuối , áp dụng được quy trình thực tế ."
negative,"['đề', 'thi']",đề thi khó .
positive,"['thúc_đẩy', 'sinh_viên', 'tự_học', 'kỳ', 'thi']",thúc đẩy sinh viên tự học đạt điểm cao trong các kỳ thi .
negative,"['check', 'mail']",không check mail mỗi khi hỏi bài .
positive,"['thầy', 'nhiệt_tình', 'vui', 'dạy', 'cặn_kẽ']","thầy rất nhiệt tình , vui tính , dạy dễ hiểu và cặn kẽ ."
negative,"['hiện', 'khóa', '5', 'học', 'môn', 'cảm', '""', 'chuột_bạch', '""', 'thử_nghiệm', 'môn_học']","thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học ."
positive,"['giảng_viên', 'vui_vẻ', 'thoải_mái', 'học', 'áp_lực']","giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực ."
negative,"['giảng_viên', 'tiếng']",giảng viên nói tiếng anh không hay .
positive,"['giảng', 'giúp', 'sinh_viên', 'nắm', 'vững', 'kiến_thức']","giảng rất hay và dễ hiểu , giúp cho sinh viên nắm vững kiến thức ."
negative,"['công_thức', 'đổi', 'cập_nhật', '(', 'betweenness', 'centrality', 'closeness', 'centrality', ')', 'áp', 'kiến_thức', 'sinh_viên']",các công thức đã có sự đổi mới nên cô cần cập nhật thêm ( betweenness centrality và closeness centrality ) tránh áp đặt kiến thức lên sinh viên .
positive,"['giảng_viên', 'giảng_dạy', 'nhiệt_tình', 'hoạt_động', 'sinh_viên', 'rèn_luyện', 'học_tập']","giảng viên giảng dạy nhiệt tình , có đầy đủ các hoạt động để sinh viên rèn luyện và học tập ."
negative,"['thầy', 'quan_tâm', 'học_sinh']",thầy không quan tâm đến học sinh .
positive,"['dạy', 'vui']","cô dạy vui , dễ hiểu ."
negative,"['mong', 'trường', 'nâng', 'phòng', 'thực_hành', 'phong', 'lab_khoa']","mong nhà trường cần nâng cấp các phòng thực hành , và phong lab khoa ."
positive,['chất'],chất lượng tốt .
negative,"['truyền', 'dạy_học', 'buồn_ngủ', 'hiệu_quả', 'rắc_rối']","nhưng cách truyền đạt và cách dạy học rất buồn ngủ , không hiệu quả , rắc rối ."
positive,"['giảng_viên', 'giảng_dạy', 'tiếp_thu', 'ví_dụ', 'tập']","giảng viên giảng dạy dễ hiểu , nhanh tiếp thu bài , đưa ra các ví dụ và bài tập hay ."
negative,[],không dễ tính .
positive,"['thầy', 'vui', 'dạy', 'nhiệt_tình']","thầy vui tính , dạy rất dễ hiểu và rất nhiệt tình ."
negative,"['giảng_viên', 'dạy', 'trọng_tâm', 'môn_học', 'dạy', 'dòng', 'hạn_chế', 'viết', 'bảng']","giảng viên không dạy phần trọng tâm của môn học , dạy quá dài dòng , và cần hạn chế viết bảng ."
positive,"['nhiệt_tình', 'tài_liệu', 'đọc']","nhiệt tình , tài liệu đầy đủ dễ đọc dễ hiểu ."
negative,"['giảng_viên', 'giải', 'thắc_mắc', 'sinh_viên', 'vấn_đề']","giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ ."
positive,"['thầy', 'vui', 'dạy']",thầy vui tính trong việc dạy .
negative,"['bất_mãn', 'giảng_dạy', 'giảng_viên', 'mong', 'trường', 'chấn_chỉnh', 'việt']",tôi thấy rất bất mãn về việc giảng dạy của giảng viên mong nhà trường chấn chỉnh lại việt này .
positive,"['thầy', 'tân', 'tâm', 'vui_vẻ', 'khả_năng', 'truyền', 'kiến_thức']","thầy rất tân tâm , vui vẻ , và có khả năng truyền đạt kiến thức ."
negative,"['thầy', 'giảng', 'buồn_ngủ']",thầy giảng bài quá buồn ngủ .
positive,"['slide', 'giảng', 'ràng', 'giáo_viên']","slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ ."
negative,"['thực_hành', 'bám_sát', 'chương_trình', 'lý_thuyết']",các bài thực hành cần bám sát theo chương trình lý thuyết .
positive,"['vui_vẻ', 'giảng_dạy']",cô vui vẻ trong giảng dạy .
negative,"['thầy', 'máy_lạnh', 'lạnh', 'mong', 'thầy', 'bật', 'máy_lạnh']","thầy mở máy lạnh lạnh quá ạ , mong thầy bật máy lạnh vừa phải thôi !"
positive,"['tận_tình', 'chu_đáo', 'tâm_lý', 'sinh_viên']","tận tình , chu đáo , hiểu tâm lý sinh viên ."
negative,"['giảng_viên', 'trình_bày', 'mẫu', 'giải']",giảng viên nên trình bày mẫu các bài giải nhiều hơn .
positive,"['giảng_viên', 'giảng_dạy', 'tận_tâm', 'nhiệt_huyết']","giảng viên giảng dạy tận tâm , nhiệt huyết ."
negative,"['nội_dung', 'sâu', 'sơ_sài']","nội dung không sâu , sơ sài ."
positive,"['giáo_viên', 'phương_pháp', 'dạy', 'tiếp_thu']","giáo viên dễ gần , phương pháp dạy dể tiếp thu ."
negative,"['chủ_yếu', 'dựa', 'năng_lực', 'tự_học', 'sinh_viên']",chủ yếu dựa vào năng lực tự học của sinh viên .
positive,"['tiết', 'thực_hành', 'nhiên', 'sinh_viên', 'giao_tiếp', 'tiếng']",dành ra những tiết thực hành nghe nói riêng tạo sự tự nhiên cho sinh viên khi giao tiếp bằng tiếng anh .
negative,"['giọng', 'truyền', 'giảng']","giọng cô khó nghe , cô truyền đạt chưa hay , giảng nhanh ."
positive,"['giáo', 'xinh']",cô giáo xinh .
negative,"['thầy', 'tập', 'toàn_tập', 'lớp', 'chia_sẻ']","thầy cho ít bài tập để làm , toàn bộ bài tập em làm đều là do các bạn ở lớp khác chia sẻ ."
positive,['giảng'],"giảng hay , dễ hiểu ."
negative,"['tổ_chức', 'hoạt_động', 'văn', 'thực', 'hiệu_quả', '(', 'kiến', 'cá_nhân', ')']",cô có tổ chức một hoạt động về anh văn nhưng em thấy chưa thực sự có hiệu quả ( đó là ý kiến cá nhân của em ) .
positive,"['thầy', 'dạy', 'dạng', 'tập', 'ví_dụ', 'giúp', 'môn', 'mạng']",thầy dạy cho nhiều dạng bài tập ví dụ hay giúp em hiểu rõ hơn môn mạng .
negative,"['giảng', 'khó_hiểu', 'môn', 'giải_tích']","giảng khó hiểu , nhưng phần lớn là do môn giải tích khó ."
positive,"['chia_sẻ', 'kiến_thức', 'thực_tế', 'sinh_viên']",chia sẻ kiến thức thực tế cho sinh viên .
negative,"['thầy', 'dịch', 'slide', 'giảng', 'khó_hiểu']",thầy dịch slide và giảng khó hiểu .
positive,"['thầy', 'vui', 'liên_hệ', 'thực_tiễn']","thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao ."
negative,"['đăng', 'slide', 'giảng', 'course']",không đăng slide bài giảng lên course .
positive,"['giáo_viên', 'nhiệt_tình', 'thân_thiện']","giáo viên nhiệt tình , thân thiện ."
negative,"['thầy', 'chủ_động', 'thời_gian']",thầy cần chủ động về thời gian .
positive,['tận_tình'],"đúng giờ , tận tình ."
negative,"['mong', 'thầy', 'cung', 'tài_liệu', 'thống', 'thể', 'dàng', 'kiến_thức', 'môn_học']",em mong thầy sẽ cung cấp chúng em nhiều tài liệu chính thống hơn để chúng em có thể dễ dàng tìm hiểu kiến thức môn học .
positive,"['thầy', 'lớp']",thầy lên lớp đúng giờ .
negative,"['chủ_nhật', 'bắt', 'đi', 'học']",đã là chủ nhật còn bắt đi học .
positive,"['thầy', 'dạy', 'truyền_cảm']",thầy dạy rất truyền cảm .
negative,['nội_dung_thiết'],quá nhiều nội dung không cần thiết .
positive,['thầy'],thầy rất đúng giờ .
negative,"['truyền', 'kiến_thức', 'lối', 'bình_dân_sinh_viên', 'hình_dung', 'nắm_bắt_truyền']","việc truyền đạt kiến thức theo lối bình dân , khiến sinh viên khó hình dung , nắm bắt được mình đang được truyền đạt điều gì ."
positive,"['môi_trường_học_tập', 'thân_thiện', 'thoải_mái', 'kém', 'bổ_ích', 'sinh_viên', 'hy_vọng', 'dạy']","cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn ."
negative,"['nội_dung', 'giúp', 'sinh_viên']",và nội dung đó không giúp sinh viên sau này nhiều .
positive,"['sinh_viên', 'giảng', 'nhiệt_tình']",khi nào sinh viên chưa hiểu đều giảng nhiệt tình .
negative,"['báo', 'nghỉ', 'đại_trà']",báo nghỉ không đại trà .
positive,"['thầy_giáo', 'tích_cực', 'tâm_lý']","thầy giáo tích cực , tâm lý ."
negative,"['thầy', 'giao', 'đồ_án', 'sinh_viên', 'bơi']",thầy giao đồ án cho sinh viên tự bơi .
positive,"['thầy', 'tận_tâm', 'nhiệt_tình', 'sinh_viên']","thầy tận tâm , nhiệt tình với sinh viên ."
negative,"['giảng_viên', 'giảng', 'chưa_được', 'thú_vị']",giảng viên giảng chưa được thú vị .
positive,"['thầy', 'dạy', 'bám_sát', 'nội_dung', 'thiết', 'nhiệt_tình']",thầy dạy bám sát nội dung cần thiết nhiệt tình .
negative,"['thầy', 'dạy', 'sửa', 'tập']",em muốn thầy dạy và sửa bài tập .
positive,"['dạy', 'nhiệt_tình', 'xuyên', 'chia_sẻ', 'website', 'môn_học']","cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học ."
negative,"['đừng', 'chỗ', 'tiếng', 'chỗ', 'tiếng', 'việt']",đừng có một chỗ tiếng anh một chỗ tiếng việt .
positive,"['thầy', 'nhiệt_tình', 'giảng']",thầy nhiệt tình giảng bài !
negative,"['sử_dụng', 'phòng', 'elab_thiết', 'lớp', 'chất']",cần sử dụng phòng elab và các thiết bị nghe nhìn cho lớp chất lượng cao .
positive,"['thầy', 'giảng', 'kỹ']",thầy giảng kỹ bài .
negative,"['môn', 'môn', 'quan_trọng', 'truyền_thông', 'thực_hành', 'mềm', 'thiết', 'mô']",môn này là môn quan trọng trong truyền thông nên cần thực hành trên phần mềm và thiết bị mô phỏng nhiều hơn .
positive,"['nhiệt_tình', 'sinh_viên', 'vui_vẻ']","cô nhiệt tình với sinh viên , vui vẻ ."
negative,"['giảng_viên', 'tập', 'nâng', 'hơi_quá', 'sức', 'đối_tụi']","giảng viên thường cho một số bài tập nâng cao , hơi quá sức đối với tụi em ."
positive,"['thầy', 'dạy', 'vui', 'áp_lực']","thầy dạy vui tính , không áp lực ."
negative,"['thầy', 'hiền']","thầy khá hiền , ít nói ."
positive,"['thầy', 'giảng', 'nhiệt_tình', 'ví_dụ', 'minh_họa', 'vấn_đề']","thầy giảng bài rất nhiệt tình , có các ví dụ minh họa để làm rõ vấn đề ."
negative,"['thầy', 'tập', 'thời_gian', 'cố_định', 'ngắn', 'thời_gian']","thầy cho bài tập về quá nhiều , thời gian cố định , ngắn nên không đủ thời gian để làm bài ."
positive,"['tập', 'thực_hành', 'giúp', 'nâng', 'kiến_thức', 'học', 'lớp']",các bài tập thực hành giúp nâng cao kiến thức đã học trên lớp .
negative,"['trường', 'giáo_trình', 'tập', 'hướng', 'giải_tập']",nhà trường nên có nhiều giáo trình bài tập và hướng dẫn giải bài tập nhiều hơn .
positive,"['dạy', 'tuyệt']","cô dạy hay tuyệt , rất dễ hiểu ."
negative,"['tệ', 'tả']",tệ đến mức không tả được .
positive,"['dạy', 'xuyên', 'tập', 'moodle', 'hội', 'học_sinh', 'rèn_luyện', 'kỹ_năng']","dạy đúng giờ , thường xuyên đưa bài tập lên moodle , tạo cơ hội cho học sinh rèn luyện kỹ năng nghe và nói nhiều ."
negative,"['giảng_viên', 'diễn', 'lớp', 'đông', 'thiệt_thòi', 'sinh_viên', 'lớp', 'nội_dung', 'giảng']","giảng viên diễn đạt quá nhanh , lớp thường rất đông , rất thiệt thòi cho sinh viên ngồi cuối lớp do không nhìn thấy nội dung bài giảng ."
positive,['giảng_dạy'],giảng dạy hay dễ hiểu .
negative,"['thầy', 'slide', 'giảng', 'giới_thiệu', 'tài_liệu', 'đọc']",thầy không cho slide bài giảng cũng không giới thiệu tài liệu đọc thêm .
positive,"['thầy', 'nhiệt_tình', 'giảng_dạy']",thầy nhiệt tình trong cách giảng dạy .
negative,"['cố_định', 'thầy', 'hội', 'tất', 'sinh_viên', 'nộp', 'giải', 'ràng', 'khung', 'đầu']",nếu là điểm cố định thì thầy phải cho cơ hội cho tất cả các sinh viên đều nộp bài được và giải thích rõ ràng khung điểm này từ đầu .
positive,"['hiện', 'tương_đối_chỉnh']","hiện tại tương đối tốt , không cần điều chỉnh gì thêm ."
negative,"['thầy', 'tập', 'sửa', 'thầy', 'giảng', 'ràng']","nhờ thầy cho bài tập và sửa thầy không làm , và cũng giảng nhưng mà để làm được bài thì em muốn có được cách làm rõ ràng ."
positive,"['giảng_dạy', 'tận_tâm', 'nhiệt_tình']","giảng dạy tận tâm , nhiệt tình , hay ."
negative,"['thầy', 'sinh_viên', 'ngủ_gật', 'bàn', 'danh_sách', 'danh']","thêm nữa , thầy cũng không muốn nhìn thấy một sinh viên ngủ gục trên bàn mà vẫn có tên trong danh sách điểm danh ."
positive,"['vui', 'hoà_đồng']",vui tính hoà đồng .
negative,"['môn', 'mạng', 'máy', 'nề', 'lý_thuyết']",môn mạng máy tính còn nặng nề lý thuyết rất nhiều .
positive,"['dạy', 'giảng', 'sống_động']","cô dạy dễ hiểu , bài giảng sống động ."
negative,"['tiết', 'học', 'căng_thẳng', 'xuyên']","tiết học căng thẳng , phải thường xuyên đúng giờ ."
positive,"['giáo_viên', 'dạy', 'tận_tình', 'giải_đáp', 'thắc_mắc', 'sinh_viên', 'môn_học']","giáo viên dạy tận tình , dễ hiểu , hay giải đáp những thắc mắc của sinh viên về môn học ."
negative,"['nâng', 'hệ_thống', 'loa', 'phòng', 'học']",nâng cấp hệ thống loa cho các phòng học .
positive,"['tận_tâm', 'nhiệt_tình', 'giải_đáp', 'thắc_mắc', 'trình', 'học']","tận tâm , nhiệt tình giải đáp thắc mắc trong quá trình học ."
negative,"['đề_nghị', 'trừ', 'lương']",đề nghị trừ lương .
positive,"['thầy', 'dạy', 'vui', 'khô_khan', 'liên_tưởng']","thầy dạy vui , không khô khan , liên tưởng tốt ."
negative,"['thầy', 'dạy', 'ôn_tập', 'thi', 'kỳ', 'kỳ', 'sinh_viên']","thầy dạy hay nhưng không ôn tập thi giữa kỳ , cuối kỳ cho sinh viên ."
positive,"['tài_liệu', 'thầy', 'cung', 'cụ_thể']","tài liệu thầy cung cấp đầy đủ , cụ thể ."
negative,"['giảng_viên', 'đảm_bảo', 'thời_gian', 'lớp']",giảng viên cần đảm bảo thời gian lên lớp .
positive,"['cực_kỳ', 'nhiệt_tình']",cực kỳ nhiệt tình .
negative,"['máy_chiếu', 'phòng', 'học', 'mờ']",máy chiếu tại phòng học còn mờ .
positive,"['thầy', 'giảng', 'tập', 'sinh_viên']","thầy ít có giảng về bài tập , chỉ cho sinh viên tự tìm hiểu ."
negative,"['viết', 'ví_dụ', 'trùng_lặp', '(', 'dạng', ')']",viết quá nhiều ví dụ trùng lặp ( dạng ) với nhau .
positive,"['giáo_viên', 'kiến_thức']",giáo viên có kiến thức tốt .
negative,"['tài_liệu', 'môn', 'mạng', 'máy', 'dịch', 'computer', 'networking', 'a', 'topdown', 'aproach', 'hơi', 'khó_hiểu', 'sinh_viên', 'học', 'nghiên_cứu']",tài liệu môn mạng máy tính được dịch từ computer networking a topdown aproach còn hơi khó hiểu để sinh viên học hay tự nghiên cứu .
positive,"['học', 'thầy', 'vui']","học thầy rất là vui , mà còn biết thêm nhiều cái hay nữa ."
negative,"['mong', 'thầy', 'câu_nghiệp', 'đời', 'gian_nan', 'trải', 'thầy', 'học', 'lẽ', 'sinh_viên', 'học']","em mong muốn được nghe thầy kể nhiều câu chuyện về sự nghiệp và cuộc đời , gian nan từng trải của thầy trong các bài học nhiều hơn nữa , có lẻ sinh viên sẽ học được nhiều điều hơn ."
positive,"['thể', 'tổ_chức', 'seminar', 'kích', 'sinh_viên', 'ứng_dụng', 'môn_học', 'thực_tiễn']",có thể tổ chức các buổi seminar nhằm kích thích sinh viên tìm hiểu thêm và ứng dụng tốt hơn môn học này vào thực tiễn .
negative,"['giảng', 'thầy', 'ngồi_yên', 'ghế', 'đọc', 'slide', 'sinh_viên', 'cảm', 'nhàm_chán']","em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán ."
positive,"['thầy', 'giảng', 'chậm']","thầy giảng bài khá là dễ hiểu , chậm nhưng chắc ."
negative,"['thầy', 'xuyên', 'deadline', 'phù_hợp', 'sinh_viên']",thầy thường xuyên đặt ra những deadline không phù hợp với sinh viên .
positive,"['dạy', 'cung', 'phương_pháp', 'học_tập', 'hiệu_quả']","dạy dễ hiểu , và cung cấp thêm những phương pháp học tập hiệu quả ."
negative,"['khắt_khe', 'colonsad']",quá khắt khe colonsad .
positive,"['dạy', 'thương', 'nắm', 'kiến_thức']","cô dạy rất dễ thương , dễ hiểu , nắm chắc kiến thức ."
