Sentiment,Tokens,Reviews
positive,"['giảng', 'bài', 'nghe', 'rất', 'dễ', 'hiểu', 'vui_tính']",giảng bài nghe rất dễ hiểu vui tính .
negative,"['thầy', 'chưa_có', 'sự', 'hướng_dẫn', 'cụ_thể']",thầy chưa có sự hướng dẫn cụ thể .
positive,"['thầy', 'dạy', 'hay', 'demo', 'code', 'trực_tiếp', 'cho', 'sinh_viên', 'dễ', 'hiểu']","thầy dạy hay , demo code trực tiếp cho sinh viên dễ hiểu ."
negative,"['không', 'đi', 'đúng', 'giờ']",không đi đúng giờ .
positive,"['thầy', 'vui_tính', 'chuyên_môn', 'vững']","thầy vui tính , chuyên môn vững ."
negative,"['môn', 'này', 'khó']",môn này khó .
positive,"['dạy', 'đúng', 'đề_cương', 'ôn_tập', 'sát', 'với', 'đề', 'thi']","dạy đúng đề cương , ôn tập sát với đề thi ."
negative,"['khi', 'ra', 'đề', 'thi', 'thầy', 'nên', 'kiểm_tra', 'kỹ', 'nội_dung', 'đề', 'tránh', 'để', 'sót', 'lỗi', 'điển_hình_như', 'doubledot', 'tên', 'cột', 'của', 'bảng', 'trùng', 'từ', 'khóa', 'của', 'oracle']","khi ra đề thi thầy nên kiểm tra kỹ nội dung đề , tránh để sót lỗi điển hình như doubledot tên cột của bảng trùng từ khóa của oracle ."
positive,"['cô', 'dạy', 'bài_tập', 'rất', 'tận_tình', 'dễ', 'hiểu']","cô dạy bài tập rất tận tình , dễ hiểu ."
negative,"['giảng_viên', 'chưa', 'cho', 'sinh_viên', 'bài_tập', 'về', 'nhà']",giảng viên chưa cho sinh viên bài tập về nhà .
positive,"['đề_cập', 'về', 'tính', 'thực_tế', 'liên_quan', 'của', 'hệ_thống', 'kiến_thức']","đề cập về tính thực tế , liên quan của hệ thống kiến thức ."
negative,"['giảng_viên', 'chỉ', 'lên_lớp', 'còn', 'lại', 'không', 'hướng_dẫn', 'nội_dung', 'thực_hành', 'cho', 'sinh_viên']",giảng viên chỉ lên lớp còn lại không hướng dẫn nội dung thực hành cho sinh viên .
positive,"['thầy', 'rất', 'nhiệt_tình', 'sẵn_sàng', 'trả_lời', 'câu', 'hỏi', 'sinh_viên']","thầy rất nhiệt tình , sẵn sàng trả lời câu hỏi sinh viên ."
negative,"['giảng_viên', 'thực_hành', 'chỉ', 'gặp', 'sinh_viên', 'rất', 'ít']",giảng viên thực hành chỉ gặp sinh viên rất ít .
positive,"['cô', 'dạy', 'đến', 'hơi', 'thở', 'cuối_cùng', 'rất', 'tận_tâm', 'với', 'sinh_viên', 'sinh_viên', 'không', 'rõ', 'vấn_đề', 'gì', 'đề', 'giải_thích', 'cặn_kẽ', 'lâu_lâu', 'trong', 'giờ', 'học', 'kể', 'những', 'vấn_đề', 'có', 'liên_quan', 'tới', 'môn_học', 'giúp', 'cho', 'sinh_viên', 'định_hướng', 'được', 'học', 'môn', 'này', 'để', 'làm', 'gì', 'tạo', 'hứng_thú', 'cho', 'sinh_viên', 'học_tập', 'đặc_biệt', 'cô', 'có', 'giờ', 'tiếp', 'sinh_viên', 'định_kỳ', 'để', 'để', 'hỗ_trợ', 'sinh_viên', 'em', 'rất', 'thích', 'điều', 'này']","cô dạy đến hơi thở cuối cùng , rất tận tâm với sinh viên , sinh viên không rõ vấn đề gì đề giải thích cặn kẽ , lâu lâu trong giờ học kể những vấn đề có liên quan tới môn học giúp cho sinh viên định hướng được học môn này để làm gì tạo hứng thú cho sinh viên học tập , đặc biệt cô có giờ tiếp sinh viên định kỳ để để hỗ trợ sinh viên em rất thích điều này ."
negative,"['còn', 'đi', 'trễ']",còn đi trễ .
positive,"['ngoài_ra', 'cung_cấp', 'một_vài', 'thông_tin', 'bổ_sung', 'về', 'việc', 'học', 'công_nghệ', 'thông_tin', 'hiệu_quả', 'hơn']",ngoài ra cung cấp một vài thông tin bổ sung về việc học công nghệ thông tin hiệu quả hơn .
negative,"['giáo_trình', 'nên', 'có', 'sự', 'trình_bày', 'cụ_thể', 'hơn']",giáo trình nên có sự trình bày cụ thể hơn .
positive,"['cô', 'dạy', 'nhiệt_tình', 'và', 'dễ', 'hiểu']",cô dạy nhiệt tình và dễ hiểu .
negative,"['cô', 'rất', 'nghiêm']",cô rất nghiêm .
positive,"['giảng', 'dễ', 'hiểu', 'cho', 'bài_tập', 'đầy_đủ']","giảng dễ hiểu , cho bài tập đầy đủ ."
negative,"['mỗi', 'khi', 'cần', 'giảng_giải', 'bài_tập', 'kiến_thức', 'vấn_đề', 'gì', 'mà', 'sử_dụng', 'đến', 'mạng', 'wifi', 'thì', 'rất', 'tệ', 'làm', 'tốn', 'thời_gian', 'của', 'thầy', 'và', 'sinh_viên']","mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên ."
positive,"['thầy', 'vui_tính', 'rất', 'nhiệt_tình', 'với', 'sinh_viên']","thầy vui tính , rất nhiệt tình với sinh viên ."
negative,"['nhà_trường', 'nên', 'cập_nhật', 'visual', 'studio', 'lên', 'phiên_bản', 'mới', 'nhất', 'để', 'tụi', 'em', 'thực_hành', 'tốt', 'hơn']",nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .
positive,"['sự', 'nhiệt_tình', 'và', 'liên_hệ', 'thực_tế', 'của', 'giáo_viên']",sự nhiệt tình và liên hệ thực tế của giáo viên .
negative,"['em', 'hy_vọng', 'nhà_trường', 'cải_thiện', 'lại', 'các', 'máy', 'trong', 'phòng', 'thực_hành', 'để', 'tương_ứng', 'với', 'số', 'tiền', 'đối_với', 'số', 'chỉ_thực_hành']",em hy vọng nhà trường cải thiện lại các máy trong phòng thực hành để tương ứng với số tiền đối với số chỉ thực hành .
positive,"['tận_tình', 'chỉ_bảo']",tận tình chỉ bảo .
negative,"['quá', 'khó_khăn', 'trong', 'việc', 'báo_cáo', 'bài']",quá khó khăn trong việc báo cáo bài .
positive,"['giảng_viên', 'giảng', 'nhiều', 'bài_tập', 'và', 'tăng_cường', 'ôn_tập', 'ngữ_pháp', 'và', 'luyện', 'nói']",giảng viên giảng nhiều bài tập và tăng cường ôn tập ngữ pháp và luyện nói .
negative,"['mong', 'giảng_viên', 'có_thể', 'liên_hệ', 'bài_học', 'với', 'thực_tế', 'cho', 'ví_dụ', 'nhiều', 'hơn', 'sinh_viên', 'có_thể', 'hiểu', 'được', 'bài']","mong giảng viên có thể liên hệ bài học với thực tế , cho ví dụ nhiều hơn sinh viên có thể hiểu được bài ."
positive,"['nhiều', 'tài_liệu', 'hữu_ích']",nhiều tài liệu hữu ích .
negative,"['tụi', 'em', 'tới', 'để', 'học', 'chứ', 'không', 'phải', 'để', 'nghe', 'cô', 'chê_bai', 'người', 'việt', 'này_nọ', 'lọ', 'chai', 'không', 'phải', 'để', 'nghe', 'việc', 'cô', 'đi', 'dạy', 'người', 'nước_ngoài', 'nói', 'tiếng', 'việt', 'cô', 'cũng', 'đừng', 'đánh_giá', 'người_ta', 'nói', 'cái', 'gì', 'cho', 'cả', 'một', 'tập_thể']","tụi em tới để học chứ không phải để nghe cô chê bai người việt này nọ lọ chai , không phải để nghe việc cô đi dạy người nước ngoài nói tiếng việt , cô cũng đừng đánh giá người ta nói cái gì cho cả một tập thể ."
positive,"['đồ_án', 'cuối', 'kỳ', 'trong', 'vòng', 'một', 'tháng', 'cuối', 'áp_dụng', 'được', 'quy_trình', 'thực_tế']","đồ án cuối kỳ trong vòng một tháng cuối , áp dụng được quy trình thực tế ."
negative,"['đề', 'thi', 'khó']",đề thi khó .
positive,"['thúc_đẩy', 'sinh_viên', 'tự_học', 'đạt', 'điểm_cao', 'trong', 'các', 'kỳ', 'thi']",thúc đẩy sinh viên tự học đạt điểm cao trong các kỳ thi .
negative,"['không', 'check', 'mail', 'mỗi', 'khi', 'hỏi', 'bài']",không check mail mỗi khi hỏi bài .
positive,"['thầy', 'rất', 'nhiệt_tình', 'vui_tính', 'dạy', 'dễ', 'hiểu', 'và', 'cặn_kẽ']","thầy rất nhiệt tình , vui tính , dạy dễ hiểu và cặn kẽ ."
negative,"['thì', 'hiện_nay', 'khóa', '5', 'đang', 'học', 'môn', 'này', 'có', 'cảm_nhận', 'vẫn', 'còn', 'là', 'con', '""', 'chuột_bạch', '""', 'thử_nghiệm', 'cho', 'môn_học']","thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học ."
positive,"['giảng_viên', 'vui_vẻ', 'thoải_mái', 'trong', 'giờ', 'học', 'không', 'gây', 'áp_lực']","giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực ."
negative,"['giảng_viên', 'nói', 'tiếng', 'anh', 'không', 'hay']",giảng viên nói tiếng anh không hay .
positive,"['giảng', 'rất', 'hay', 'và', 'dễ', 'hiểu', 'giúp', 'cho', 'sinh_viên', 'nắm', 'vững', 'kiến_thức']","giảng rất hay và dễ hiểu , giúp cho sinh viên nắm vững kiến thức ."
negative,"['các', 'công_thức', 'đã', 'có', 'sự', 'đổi_mới', 'nên', 'cô', 'cần', 'cập_nhật', 'thêm', '(', 'betweenness', 'centrality', 'và', 'closeness', 'centrality', ')', 'tránh', 'áp_đặt', 'kiến_thức', 'lên', 'sinh_viên']",các công thức đã có sự đổi mới nên cô cần cập nhật thêm ( betweenness centrality và closeness centrality ) tránh áp đặt kiến thức lên sinh viên .
positive,"['giảng_viên', 'giảng_dạy', 'nhiệt_tình', 'có', 'đầy_đủ', 'các', 'hoạt_động', 'để', 'sinh_viên', 'rèn_luyện', 'và', 'học_tập']","giảng viên giảng dạy nhiệt tình , có đầy đủ các hoạt động để sinh viên rèn luyện và học tập ."
negative,"['thầy', 'không', 'quan_tâm', 'đến', 'học_sinh']",thầy không quan tâm đến học sinh .
positive,"['cô', 'dạy', 'vui', 'dễ', 'hiểu']","cô dạy vui , dễ hiểu ."
negative,"['mong', 'nhà_trường', 'cần', 'nâng_cấp', 'các', 'phòng', 'thực_hành', 'và', 'phong', 'lab_khoa']","mong nhà trường cần nâng cấp các phòng thực hành , và phong lab khoa ."
positive,"['chất_lượng', 'tốt']",chất lượng tốt .
negative,"['nhưng', 'cách', 'truyền_đạt', 'và', 'cách', 'dạy_học', 'rất', 'buồn_ngủ', 'không', 'hiệu_quả', 'rắc_rối']","nhưng cách truyền đạt và cách dạy học rất buồn ngủ , không hiệu quả , rắc rối ."
positive,"['giảng_viên', 'giảng_dạy', 'dễ', 'hiểu', 'nhanh', 'tiếp_thu', 'bài', 'đưa', 'ra', 'các', 'ví_dụ', 'và', 'bài_tập', 'hay']","giảng viên giảng dạy dễ hiểu , nhanh tiếp thu bài , đưa ra các ví dụ và bài tập hay ."
negative,"['không', 'dễ_tính']",không dễ tính .
positive,"['thầy', 'vui_tính', 'dạy', 'rất', 'dễ', 'hiểu', 'và', 'rất', 'nhiệt_tình']","thầy vui tính , dạy rất dễ hiểu và rất nhiệt tình ."
negative,"['giảng_viên', 'không', 'dạy', 'phần', 'trọng_tâm', 'của', 'môn_học', 'dạy', 'quá', 'dài_dòng', 'và', 'cần', 'hạn_chế', 'viết', 'bảng']","giảng viên không dạy phần trọng tâm của môn học , dạy quá dài dòng , và cần hạn chế viết bảng ."
positive,"['nhiệt_tình', 'tài_liệu', 'đầy_đủ', 'dễ', 'đọc', 'dễ', 'hiểu']","nhiệt tình , tài liệu đầy đủ dễ đọc dễ hiểu ."
negative,"['giảng_viên', 'chưa', 'giải', 'hết', 'thắc_mắc', 'của', 'sinh_viên', 'còn', 'một_vài', 'vấn_đề', 'chưa', 'hiểu', 'rõ']","giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ ."
positive,"['thầy', 'vui_tính', 'trong', 'việc', 'dạy']",thầy vui tính trong việc dạy .
negative,"['tôi', 'thấy', 'rất', 'bất_mãn', 'về', 'việc', 'giảng_dạy', 'của', 'giảng_viên', 'mong', 'nhà_trường', 'chấn_chỉnh', 'lại', 'việt', 'này']",tôi thấy rất bất mãn về việc giảng dạy của giảng viên mong nhà trường chấn chỉnh lại việt này .
positive,"['thầy', 'rất', 'tân', 'tâm', 'vui_vẻ', 'và', 'có', 'khả_năng', 'truyền_đạt', 'kiến_thức']","thầy rất tân tâm , vui vẻ , và có khả năng truyền đạt kiến thức ."
negative,"['thầy', 'giảng', 'bài', 'quá', 'buồn_ngủ']",thầy giảng bài quá buồn ngủ .
positive,"['slide', 'bài', 'giảng', 'đầy_đủ', 'rõ_ràng', 'giáo_viên', 'đúng', 'giờ']","slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ ."
negative,"['các', 'bài', 'thực_hành', 'cần', 'bám_sát', 'theo', 'chương_trình', 'lý_thuyết']",các bài thực hành cần bám sát theo chương trình lý thuyết .
positive,"['cô', 'vui_vẻ', 'trong', 'giảng_dạy']",cô vui vẻ trong giảng dạy .
negative,"['thầy', 'mở', 'máy_lạnh', 'lạnh', 'quá', 'ạ', 'mong', 'thầy', 'bật', 'máy_lạnh', 'vừa', 'phải', 'thôi']","thầy mở máy lạnh lạnh quá ạ , mong thầy bật máy lạnh vừa phải thôi !"
positive,"['tận_tình', 'chu_đáo', 'hiểu', 'tâm_lý', 'sinh_viên']","tận tình , chu đáo , hiểu tâm lý sinh viên ."
negative,"['giảng_viên', 'nên', 'trình_bày', 'mẫu', 'các', 'bài', 'giải', 'nhiều', 'hơn']",giảng viên nên trình bày mẫu các bài giải nhiều hơn .
positive,"['giảng_viên', 'giảng_dạy', 'tận_tâm', 'nhiệt_huyết']","giảng viên giảng dạy tận tâm , nhiệt huyết ."
negative,"['nội_dung', 'không', 'sâu', 'sơ_sài']","nội dung không sâu , sơ sài ."
positive,"['giáo_viên', 'dễ', 'gần', 'phương_pháp', 'dạy', 'dễ', 'tiếp_thu']","giáo viên dễ gần , phương pháp dạy dể tiếp thu ."
negative,"['chủ_yếu', 'dựa', 'vào', 'năng_lực', 'tự_học', 'của', 'sinh_viên']",chủ yếu dựa vào năng lực tự học của sinh viên .
positive,"['dành', 'ra', 'những', 'tiết', 'thực_hành', 'nghe', 'nói_riêng', 'tạo', 'sự', 'tự_nhiên', 'cho', 'sinh_viên', 'khi', 'giao_tiếp', 'bằng', 'tiếng', 'anh']",dành ra những tiết thực hành nghe nói riêng tạo sự tự nhiên cho sinh viên khi giao tiếp bằng tiếng anh .
negative,"['giọng', 'cô', 'khó', 'nghe', 'cô', 'truyền_đạt', 'chưa', 'hay', 'giảng', 'nhanh']","giọng cô khó nghe , cô truyền đạt chưa hay , giảng nhanh ."
positive,"['cô_giáo', 'xinh']",cô giáo xinh .
negative,"['thầy', 'cho', 'ít', 'bài_tập', 'để', 'làm', 'toàn_bộ', 'bài_tập', 'em', 'làm', 'đều', 'là', 'do', 'các', 'bạn', 'ở', 'lớp', 'khác', 'chia_sẻ']","thầy cho ít bài tập để làm , toàn bộ bài tập em làm đều là do các bạn ở lớp khác chia sẻ ."
positive,"['giảng', 'hay', 'dễ', 'hiểu']","giảng hay , dễ hiểu ."
negative,"['cô', 'có', 'tổ_chức', 'một', 'hoạt_động', 'về', 'anh', 'văn', 'nhưng', 'em', 'thấy', 'chưa', 'thực_sự', 'có', 'hiệu_quả', '(', 'đó', 'là', 'ý_kiến', 'cá_nhân', 'của', 'em', ')']",cô có tổ chức một hoạt động về anh văn nhưng em thấy chưa thực sự có hiệu quả ( đó là ý kiến cá nhân của em ) .
positive,"['thầy', 'dạy', 'cho', 'nhiều', 'dạng', 'bài_tập', 'ví_dụ', 'hay', 'giúp', 'em', 'hiểu', 'rõ', 'hơn', 'môn', 'mạng']",thầy dạy cho nhiều dạng bài tập ví dụ hay giúp em hiểu rõ hơn môn mạng .
negative,"['giảng', 'khó_hiểu', 'nhưng', 'phần_lớn', 'là', 'do', 'môn', 'giải_tích', 'khó']","giảng khó hiểu , nhưng phần lớn là do môn giải tích khó ."
positive,"['chia_sẻ', 'kiến_thức', 'thực_tế', 'cho', 'sinh_viên']",chia sẻ kiến thức thực tế cho sinh viên .
negative,"['thầy', 'dịch', 'slide', 'và', 'giảng', 'khó_hiểu']",thầy dịch slide và giảng khó hiểu .
positive,"['thầy', 'cũng', 'vui_tính', 'nói_chuyện', 'liên_hệ', 'thực_tiễn', 'cao']","thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao ."
negative,"['không', 'đăng', 'slide', 'bài', 'giảng', 'lên', 'course']",không đăng slide bài giảng lên course .
positive,"['giáo_viên', 'nhiệt_tình', 'thân_thiện']","giáo viên nhiệt tình , thân thiện ."
negative,"['thầy', 'cần', 'chủ_động', 'về', 'thời_gian']",thầy cần chủ động về thời gian .
positive,"['đúng', 'giờ', 'tận_tình']","đúng giờ , tận tình ."
negative,"['em', 'mong', 'thầy', 'sẽ', 'cung_cấp', 'chúng', 'em', 'nhiều', 'tài_liệu', 'chính_thống', 'hơn', 'để', 'chúng', 'em', 'có_thể', 'dễ_dàng', 'tìm_hiểu', 'kiến_thức', 'môn_học']",em mong thầy sẽ cung cấp chúng em nhiều tài liệu chính thống hơn để chúng em có thể dễ dàng tìm hiểu kiến thức môn học .
positive,"['thầy', 'lên_lớp', 'đúng', 'giờ']",thầy lên lớp đúng giờ .
negative,"['đã', 'là', 'chủ_nhật', 'còn', 'bắt', 'đi', 'học']",đã là chủ nhật còn bắt đi học .
positive,"['thầy', 'dạy', 'rất', 'truyền_cảm']",thầy dạy rất truyền cảm .
negative,"['quá', 'nhiều', 'nội_dung', 'không', 'cần_thiết']",quá nhiều nội dung không cần thiết .
positive,"['thầy', 'rất', 'đúng', 'giờ']",thầy rất đúng giờ .
negative,"['việc', 'truyền_đạt', 'kiến_thức', 'theo', 'lối', 'bình_dân', 'khiến', 'sinh_viên', 'khó', 'hình_dung', 'nắm_bắt', 'được', 'mình', 'đang', 'được', 'truyền_đạt', 'điều', 'gì']","việc truyền đạt kiến thức theo lối bình dân , khiến sinh viên khó hình dung , nắm bắt được mình đang được truyền đạt điều gì ."
positive,"['cô', 'tạo', 'được', 'một', 'môi_trường_học_tập', 'rất', 'thân_thiện', 'thoải_mái', 'và', 'không', 'kém', 'phần', 'bổ_ích', 'cho', 'sinh_viên', 'hy_vọng', 'cô', 'sẽ', 'dạy', 'nhiều', 'hơn']","cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn ."
negative,"['và', 'nội_dung', 'đó', 'không', 'giúp', 'sinh_viên', 'sau_này', 'nhiều']",và nội dung đó không giúp sinh viên sau này nhiều .
positive,"['khi', 'nào', 'sinh_viên', 'chưa', 'hiểu', 'đều', 'giảng', 'nhiệt_tình']",khi nào sinh viên chưa hiểu đều giảng nhiệt tình .
negative,"['báo', 'nghỉ', 'không', 'đại_trà']",báo nghỉ không đại trà .
positive,"['thầy_giáo', 'tích_cực', 'tâm_lý']","thầy giáo tích cực , tâm lý ."
negative,"['thầy', 'giao', 'đồ_án', 'cho', 'sinh_viên', 'tự', 'bơi']",thầy giao đồ án cho sinh viên tự bơi .
positive,"['thầy', 'tận_tâm', 'nhiệt_tình', 'với', 'sinh_viên']","thầy tận tâm , nhiệt tình với sinh viên ."
negative,"['giảng_viên', 'giảng', 'chưa_được', 'thú_vị']",giảng viên giảng chưa được thú vị .
positive,"['thầy', 'dạy', 'bám_sát', 'nội_dung', 'cần_thiết', 'nhiệt_tình']",thầy dạy bám sát nội dung cần thiết nhiệt tình .
negative,"['em', 'muốn', 'thầy', 'dạy', 'và', 'sửa', 'bài_tập']",em muốn thầy dạy và sửa bài tập .
positive,"['cô', 'dạy', 'nhiệt_tình', 'thường_xuyên', 'chia_sẻ', 'bài', 'trên', 'website', 'môn_học']","cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học ."
negative,"['đừng', 'có', 'một', 'chỗ', 'tiếng', 'anh', 'một', 'chỗ', 'tiếng', 'việt']",đừng có một chỗ tiếng anh một chỗ tiếng việt .
