Score,pre_Sentiment,Sentiment,Tokens,Reviews
3.0,positive,positive,"['giảng', 'dễ', 'hiểu', 'vui']",giảng bài nghe rất dễ hiểu vui tính .
-2.0,negative,negative,"['thầy', 'chưa_có', 'hướng', 'cụ_thể']",thầy chưa có sự hướng dẫn cụ thể .
3.0,positive,positive,"['thầy', 'dạy', 'hay', 'demo', 'code', 'trực_tiếp', 'sinh_viên', 'dễ', 'hiểu']","thầy dạy hay , demo code trực tiếp cho sinh viên dễ hiểu ."
-2.0,negative,negative,"['không', 'đi', 'đúng']",không đi đúng giờ .
3.0,positive,positive,"['thầy', 'vui', 'chuyên_môn', 'vững']","thầy vui tính , chuyên môn vững ."
-1.0,negative,negative,"['môn', 'khó']",môn này khó .
1.0,positive,positive,"['dạy', 'đúng', 'đề_cương', 'ôn_tập', 'sát', 'đề', 'thi']","dạy đúng đề cương , ôn tập sát với đề thi ."
-3.0,negative,negative,"['đề', 'thi', 'thầy', 'nên', 'kiểm_tra', 'kỹ', 'nội_dung', 'đề', 'tránh', 'sót', 'lỗi', 'điển_hình', 'doubledot', 'cột', 'bảng', 'trùng', 'khóa', 'oracle']","khi ra đề thi thầy nên kiểm tra kỹ nội dung đề , tránh để sót lỗi điển hình như doubledot tên cột của bảng trùng từ khóa của oracle ."
3.0,positive,positive,"['dạy', 'tập', 'tận_tình', 'dễ', 'hiểu']","cô dạy bài tập rất tận tình , dễ hiểu ."
-1.0,negative,negative,"['giảng_viên', 'chưa', 'sinh_viên', 'tập']",giảng viên chưa cho sinh viên bài tập về nhà .
3.0,positive,positive,"['đề_cập', 'thực_tế', 'liên_quan_hệ_thống', 'kiến_thức']","đề cập về tính thực tế , liên quan của hệ thống kiến thức ."
-3.0,negative,negative,"['giảng_viên', 'chỉ', 'lớp', 'lại', 'không', 'hướng_nội_dung', 'thực_hành', 'sinh_viên']",giảng viên chỉ lên lớp còn lại không hướng dẫn nội dung thực hành cho sinh viên .
2.0,positive,positive,"['thầy', 'nhiệt_tình', 'sẵn_sàng', 'câu', 'sinh_viên']","thầy rất nhiệt tình , sẵn sàng trả lời câu hỏi sinh viên ."
-2.0,negative,negative,"['giảng_viên', 'thực_hành', 'chỉ', 'sinh_viên', 'ít']",giảng viên thực hành chỉ gặp sinh viên rất ít .
11.0,positive,positive,"['dạy', 'hơi', 'thở', 'tận_tâm', 'sinh_viên', 'sinh_viên', 'không', 'vấn_đề', 'đề', 'giải_thích', 'cặn_kẽ', 'lâu_lâu', 'học_vấn_đề', 'có', 'liên_quan', 'môn_học', 'giúp', 'sinh_viên', 'định_hướng', 'được', 'học', 'môn', 'hứng_thú', 'sinh_viên', 'học_tập', 'đặc_biệt', 'có', 'tiếp', 'sinh_viên', 'định_kỳ', 'hỗ_trợ', 'sinh_viên', 'thích']","cô dạy đến hơi thở cuối cùng , rất tận tâm với sinh viên , sinh viên không rõ vấn đề gì đề giải thích cặn kẽ , lâu lâu trong giờ học kể những vấn đề có liên quan tới môn học giúp cho sinh viên định hướng được học môn này để làm gì tạo hứng thú cho sinh viên học tập , đặc biệt cô có giờ tiếp sinh viên định kỳ để để hỗ trợ sinh viên em rất thích điều này ."
-1.0,negative,negative,"['đi', 'trễ']",còn đi trễ .
2.0,positive,positive,"['cung', 'thông', 'bổ_sung', 'học', 'công_nghệ', 'thông', 'hiệu_quả']",ngoài ra cung cấp một vài thông tin bổ sung về việc học công nghệ thông tin hiệu quả hơn .
-1.0,negative,negative,"['giáo_trình', 'nên', 'có', 'trình_bày', 'cụ_thể']",giáo trình nên có sự trình bày cụ thể hơn .
3.0,positive,positive,"['dạy', 'nhiệt_tình', 'dễ', 'hiểu']",cô dạy nhiệt tình và dễ hiểu .
-1.0,negative,negative,['nghiêm'],cô rất nghiêm .
3.0,positive,positive,"['giảng', 'dễ', 'hiểu', 'tập', 'đủ']","giảng dễ hiểu , cho bài tập đầy đủ ."
-4.0,negative,negative,"['cần', 'giảng_giải', 'tập', 'kiến_thức', 'vấn_đề', 'sử_dụng', 'mạng', 'wifi', 'tệ', 'tốn', 'thời_gian', 'thầy', 'sinh_viên']","mỗi khi cần giảng giải bài tập , kiến thức , vấn đề gì mà sử dụng đến mạng wifi thì rất tệ làm tốn thời gian của thầy và sinh viên ."
2.0,positive,positive,"['thầy', 'vui', 'nhiệt_tình', 'sinh_viên']","thầy vui tính , rất nhiệt tình với sinh viên ."
0.0,negative,negative,"['trường', 'nên', 'cập_nhật', 'visual', 'studio', 'phiên', 'mới', 'tụi', 'thực_hành', 'tốt']",nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .
3.0,positive,positive,"['nhiệt_tình', 'liên_hệ', 'thực_tế', 'giáo_viên']",sự nhiệt tình và liên hệ thực tế của giáo viên .
0.0,negative,negative,"['hy_vọng', 'trường', 'cải_thiện', 'lại', 'máy', 'phòng', 'thực_hành', 'tương_ứng', 'tiền', 'đối', 'chỉ_thực_hành']",em hy vọng nhà trường cải thiện lại các máy trong phòng thực hành để tương ứng với số tiền đối với số chỉ thực hành .
2.0,positive,positive,"['tận_tình', 'chỉ_bảo']",tận tình chỉ bảo .
-1.0,negative,negative,"['khó_khăn', 'báo_cáo']",quá khó khăn trong việc báo cáo bài .
-1.0,negative,positive,"['giảng_viên', 'giảng', 'tập', 'tăng_cường', 'ôn_tập', 'ngữ_pháp', 'luyện']",giảng viên giảng nhiều bài tập và tăng cường ôn tập ngữ pháp và luyện nói .
4.0,positive,negative,"['mong', 'giảng_viên', 'có_thể', 'liên_hệ', 'học', 'thực_tế', 'ví_dụ', 'sinh_viên', 'có_thể', 'hiểu', 'được']","mong giảng viên có thể liên hệ bài học với thực tế , cho ví dụ nhiều hơn sinh viên có thể hiểu được bài ."
1.0,positive,positive,"['tài_liệu', 'hữu_ích']",nhiều tài liệu hữu ích .
0.0,negative,negative,"['tụi', 'học', 'không', 'phải', 'chê_bai', 'việt', 'lọ', 'chai', 'không', 'phải', 'đi', 'dạy', 'tiếng', 'việt', 'đừng', 'đánh_giá', 'ta', 'tập_thể']","tụi em tới để học chứ không phải để nghe cô chê bai người việt này nọ lọ chai , không phải để nghe việc cô đi dạy người nước ngoài nói tiếng việt , cô cũng đừng đánh giá người ta nói cái gì cho cả một tập thể ."
2.0,positive,positive,"['đồ_án', 'kỳ', 'vòng', 'áp_dụng', 'được', 'quy_trình', 'thực_tế']","đồ án cuối kỳ trong vòng một tháng cuối , áp dụng được quy trình thực tế ."
-1.0,negative,negative,"['đề', 'thi', 'khó']",đề thi khó .
3.0,positive,positive,"['thúc_đẩy', 'sinh_viên', 'tự_học', 'đạt', 'cao_kỳ', 'thi']",thúc đẩy sinh viên tự học đạt điểm cao trong các kỳ thi .
-1.0,negative,negative,"['không', 'check', 'mail']",không check mail mỗi khi hỏi bài .
5.0,positive,positive,"['thầy', 'nhiệt_tình', 'vui', 'dạy', 'dễ', 'hiểu', 'cặn_kẽ']","thầy rất nhiệt tình , vui tính , dạy dễ hiểu và cặn kẽ ."
0.0,negative,negative,"['hiện', 'khóa', '5', 'học', 'môn', 'có', 'cảm', '""', 'chuột_bạch', '""', 'thử_nghiệm', 'môn_học']","thì hiện nay khóa 5 đang học môn này có cảm nhận vẫn còn là con "" chuột bạch "" thử nghiệm cho môn học ."
3.0,positive,positive,"['giảng_viên', 'vui_vẻ', 'thoải_mái', 'học', 'không', 'gây', 'áp_lực']","giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực ."
-2.0,negative,negative,"['giảng_viên', 'tiếng', 'không', 'hay']",giảng viên nói tiếng anh không hay .
6.0,positive,positive,"['giảng', 'hay', 'dễ', 'hiểu', 'giúp', 'sinh_viên', 'nắm', 'vững', 'kiến_thức']","giảng rất hay và dễ hiểu , giúp cho sinh viên nắm vững kiến thức ."
2.0,positive,negative,"['công_thức', 'có', 'đổi_mới', 'nên', 'cần', 'cập_nhật', 'thêm', '(', 'betweenness', 'centrality', 'closeness', 'centrality', ')', 'tránh', 'áp', 'kiến_thức', 'sinh_viên']",các công thức đã có sự đổi mới nên cô cần cập nhật thêm ( betweenness centrality và closeness centrality ) tránh áp đặt kiến thức lên sinh viên .
4.0,positive,positive,"['giảng_viên', 'giảng_dạy', 'nhiệt_tình', 'có', 'đủ', 'hoạt_động', 'sinh_viên', 'rèn_luyện', 'học_tập']","giảng viên giảng dạy nhiệt tình , có đầy đủ các hoạt động để sinh viên rèn luyện và học tập ."
-2.0,negative,negative,"['thầy', 'không', 'quan_tâm', 'học_sinh']",thầy không quan tâm đến học sinh .
3.0,positive,positive,"['dạy', 'vui', 'dễ', 'hiểu']","cô dạy vui , dễ hiểu ."
0.0,negative,negative,"['mong', 'trường', 'cần', 'nâng', 'phòng', 'thực_hành', 'phong', 'lab_khoa']","mong nhà trường cần nâng cấp các phòng thực hành , và phong lab khoa ."
2.0,positive,positive,"['chất', 'tốt']",chất lượng tốt .
-2.0,negative,negative,"['truyền_đạt', 'dạy_học', 'buồn_ngủ', 'không', 'hiệu_quả', 'rắc_rối']","nhưng cách truyền đạt và cách dạy học rất buồn ngủ , không hiệu quả , rắc rối ."
2.0,positive,positive,"['giảng_viên', 'giảng_dạy', 'dễ', 'hiểu', 'nhanh', 'tiếp_thu', 'ví_dụ', 'tập', 'hay']","giảng viên giảng dạy dễ hiểu , nhanh tiếp thu bài , đưa ra các ví dụ và bài tập hay ."
-2.0,negative,negative,"['không', 'dễ']",không dễ tính .
4.0,positive,positive,"['thầy', 'vui', 'dạy', 'dễ', 'hiểu', 'nhiệt_tình']","thầy vui tính , dạy rất dễ hiểu và rất nhiệt tình ."
-2.0,negative,negative,"['giảng_viên', 'không', 'dạy', 'trọng_tâm', 'môn_học', 'dạy', 'dài_dòng', 'cần', 'hạn_chế', 'viết', 'bảng']","giảng viên không dạy phần trọng tâm của môn học , dạy quá dài dòng , và cần hạn chế viết bảng ."
5.0,positive,positive,"['nhiệt_tình', 'tài_liệu', 'đủ', 'dễ', 'đọc', 'dễ', 'hiểu']","nhiệt tình , tài liệu đầy đủ dễ đọc dễ hiểu ."
-4.0,negative,negative,"['giảng_viên', 'chưa', 'giải', 'hết', 'thắc_mắc', 'sinh_viên', 'vấn_đề', 'chưa', 'hiểu']","giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ ."
1.0,positive,positive,"['thầy', 'vui', 'dạy']",thầy vui tính trong việc dạy .
-3.0,negative,negative,"['bất_mãn', 'giảng_dạy', 'giảng_viên', 'mong', 'trường', 'chấn_chỉnh', 'lại', 'việt']",tôi thấy rất bất mãn về việc giảng dạy của giảng viên mong nhà trường chấn chỉnh lại việt này .
3.0,positive,positive,"['thầy', 'tân', 'tâm', 'vui_vẻ', 'có', 'khả_năng', 'truyền_đạt', 'kiến_thức']","thầy rất tân tâm , vui vẻ , và có khả năng truyền đạt kiến thức ."
-1.0,negative,negative,"['thầy', 'giảng', 'buồn_ngủ']",thầy giảng bài quá buồn ngủ .
2.0,positive,positive,"['slide', 'giảng', 'đủ', 'ràng', 'giáo_viên', 'đúng']","slide bài giảng đầy đủ rõ ràng , giáo viên đúng giờ ."
-2.0,negative,negative,"['thực_hành', 'cần', 'bám_sát', 'chương_trình', 'lý_thuyết']",các bài thực hành cần bám sát theo chương trình lý thuyết .
1.0,positive,positive,"['vui_vẻ', 'giảng_dạy']",cô vui vẻ trong giảng dạy .
0.0,negative,negative,"['thầy', 'máy_lạnh', 'lạnh', 'mong', 'thầy', 'bật', 'máy_lạnh', 'phải']","thầy mở máy lạnh lạnh quá ạ , mong thầy bật máy lạnh vừa phải thôi !"
3.0,positive,positive,"['tận_tình', 'chu_đáo', 'hiểu', 'tâm_lý', 'sinh_viên']","tận tình , chu đáo , hiểu tâm lý sinh viên ."
0.0,negative,negative,"['giảng_viên', 'nên', 'trình_bày', 'mẫu', 'giải']",giảng viên nên trình bày mẫu các bài giải nhiều hơn .
2.0,positive,positive,"['giảng_viên', 'giảng_dạy', 'tận_tâm', 'nhiệt_huyết']","giảng viên giảng dạy tận tâm , nhiệt huyết ."
-1.0,negative,negative,"['nội_dung', 'không', 'sâu', 'sơ_sài']","nội dung không sâu , sơ sài ."
3.0,positive,positive,"['giáo_viên', 'dễ', 'gần', 'phương_pháp', 'dạy', 'dễ', 'tiếp_thu']","giáo viên dễ gần , phương pháp dạy dể tiếp thu ."
3.0,positive,negative,"['chủ_yếu', 'dựa', 'năng_lực', 'tự_học', 'sinh_viên']",chủ yếu dựa vào năng lực tự học của sinh viên .
0.0,negative,positive,"['tiết', 'thực_hành', 'nhiên', 'sinh_viên', 'giao_tiếp', 'tiếng']",dành ra những tiết thực hành nghe nói riêng tạo sự tự nhiên cho sinh viên khi giao tiếp bằng tiếng anh .
-4.0,negative,negative,"['giọng', 'khó', 'truyền_đạt', 'chưa', 'hay', 'giảng', 'nhanh']","giọng cô khó nghe , cô truyền đạt chưa hay , giảng nhanh ."
1.0,positive,positive,"['giáo', 'xinh']",cô giáo xinh .
1.0,positive,negative,"['thầy', 'ít', 'tập', 'toàn_tập', 'đều', 'lớp', 'chia_sẻ']","thầy cho ít bài tập để làm , toàn bộ bài tập em làm đều là do các bạn ở lớp khác chia sẻ ."
3.0,positive,positive,"['giảng', 'hay', 'dễ', 'hiểu']","giảng hay , dễ hiểu ."
0.0,negative,negative,"['có', 'tổ_chức', 'hoạt_động', 'văn', 'chưa', 'thực', 'có', 'hiệu_quả', '(', 'kiến', 'cá_nhân', ')']",cô có tổ chức một hoạt động về anh văn nhưng em thấy chưa thực sự có hiệu quả ( đó là ý kiến cá nhân của em ) .
3.0,positive,positive,"['thầy', 'dạy', 'dạng', 'tập', 'ví_dụ', 'hay', 'giúp', 'hiểu', 'môn', 'mạng']",thầy dạy cho nhiều dạng bài tập ví dụ hay giúp em hiểu rõ hơn môn mạng .
-2.0,negative,negative,"['giảng', 'khó_hiểu', 'môn', 'giải_tích', 'khó']","giảng khó hiểu , nhưng phần lớn là do môn giải tích khó ."
3.0,positive,positive,"['chia_sẻ', 'kiến_thức', 'thực_tế', 'sinh_viên']",chia sẻ kiến thức thực tế cho sinh viên .
-1.0,negative,negative,"['thầy', 'dịch', 'slide', 'giảng', 'khó_hiểu']",thầy dịch slide và giảng khó hiểu .
4.0,positive,positive,"['thầy', 'vui', 'liên_hệ', 'thực_tiễn', 'cao']","thầy cũng vui tính , nói chuyện liên hệ thực tiễn cao ."
-1.0,negative,negative,"['không', 'đăng', 'slide', 'giảng', 'course']",không đăng slide bài giảng lên course .
2.0,positive,positive,"['giáo_viên', 'nhiệt_tình', 'thân_thiện']","giáo viên nhiệt tình , thân thiện ."
-2.0,negative,negative,"['thầy', 'cần', 'chủ_động', 'thời_gian']",thầy cần chủ động về thời gian .
2.0,positive,positive,"['đúng', 'tận_tình']","đúng giờ , tận tình ."
4.0,positive,negative,"['mong', 'thầy', 'cung', 'tài_liệu', 'chính_thống', 'có_thể', 'dễ_dàng', 'hiểu', 'kiến_thức', 'môn_học']",em mong thầy sẽ cung cấp chúng em nhiều tài liệu chính thống hơn để chúng em có thể dễ dàng tìm hiểu kiến thức môn học .
1.0,positive,positive,"['thầy', 'lớp', 'đúng']",thầy lên lớp đúng giờ .
-1.0,negative,negative,"['chủ_nhật', 'bắt', 'đi', 'học']",đã là chủ nhật còn bắt đi học .
1.0,positive,positive,"['thầy', 'dạy', 'truyền_cảm']",thầy dạy rất truyền cảm .
-2.0,negative,negative,"['nội_dung', 'không', 'cần_thiết']",quá nhiều nội dung không cần thiết .
1.0,positive,positive,"['thầy', 'đúng']",thầy rất đúng giờ .
1.0,positive,negative,"['truyền_đạt', 'kiến_thức', 'lối', 'bình_dân', 'khiến', 'sinh_viên', 'khó', 'hình_dung', 'nắm_bắt', 'được', 'được', 'truyền_đạt']","việc truyền đạt kiến thức theo lối bình dân , khiến sinh viên khó hình dung , nắm bắt được mình đang được truyền đạt điều gì ."
3.0,positive,positive,"['được', 'môi_trường_học_tập', 'thân_thiện', 'thoải_mái', 'không', 'kém', 'bổ_ích', 'sinh_viên', 'hy_vọng', 'dạy']","cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn ."
-2.0,negative,negative,"['nội_dung', 'không', 'giúp', 'sinh_viên']",và nội dung đó không giúp sinh viên sau này nhiều .
-2.0,negative,positive,"['sinh_viên', 'chưa', 'hiểu', 'đều', 'giảng', 'nhiệt_tình']",khi nào sinh viên chưa hiểu đều giảng nhiệt tình .
-2.0,negative,negative,"['báo', 'nghỉ', 'không', 'đại_trà']",báo nghỉ không đại trà .
1.0,positive,positive,"['thầy_giáo', 'tích_cực', 'tâm_lý']","thầy giáo tích cực , tâm lý ."
0.0,negative,negative,"['thầy', 'giao', 'đồ_án', 'sinh_viên', 'bơi']",thầy giao đồ án cho sinh viên tự bơi .
2.0,positive,positive,"['thầy', 'tận_tâm', 'nhiệt_tình', 'sinh_viên']","thầy tận tâm , nhiệt tình với sinh viên ."
-2.0,negative,negative,"['giảng_viên', 'giảng', 'chưa_được', 'thú_vị']",giảng viên giảng chưa được thú vị .
3.0,positive,positive,"['thầy', 'dạy', 'bám_sát', 'nội_dung', 'cần_thiết', 'nhiệt_tình']",thầy dạy bám sát nội dung cần thiết nhiệt tình .
0.0,negative,negative,"['thầy', 'dạy', 'sửa', 'tập']",em muốn thầy dạy và sửa bài tập .
2.0,positive,positive,"['dạy', 'nhiệt_tình', 'xuyên', 'chia_sẻ', 'website', 'môn_học']","cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học ."
0.0,negative,negative,"['đừng', 'có', 'chỗ', 'tiếng', 'chỗ', 'tiếng', 'việt']",đừng có một chỗ tiếng anh một chỗ tiếng việt .
1.0,positive,positive,"['thầy', 'nhiệt_tình', 'giảng']",thầy nhiệt tình giảng bài !
1.0,positive,negative,"['cần', 'sử_dụng', 'phòng', 'elab', 'thiết_bị', 'lớp', 'chất', 'cao']",cần sử dụng phòng elab và các thiết bị nghe nhìn cho lớp chất lượng cao .
1.0,positive,positive,"['thầy', 'giảng', 'kỹ']",thầy giảng kỹ bài .
0.0,negative,negative,"['môn', 'môn', 'quan_trọng', 'truyền_thông', 'nên', 'cần', 'thực_hành', 'mềm', 'thiết_bị', 'mô']",môn này là môn quan trọng trong truyền thông nên cần thực hành trên phần mềm và thiết bị mô phỏng nhiều hơn .
2.0,positive,positive,"['nhiệt_tình', 'sinh_viên', 'vui_vẻ']","cô nhiệt tình với sinh viên , vui vẻ ."
1.0,positive,negative,"['giảng_viên', 'tập', 'nâng', 'cao', 'hơi_quá', 'sức', 'đối_tụi']","giảng viên thường cho một số bài tập nâng cao , hơi quá sức đối với tụi em ."
1.0,positive,positive,"['thầy', 'dạy', 'vui', 'không', 'áp_lực']","thầy dạy vui tính , không áp lực ."
1.0,positive,negative,"['thầy', 'khá', 'hiền', 'ít']","thầy khá hiền , ít nói ."
2.0,positive,positive,"['thầy', 'giảng', 'nhiệt_tình', 'có', 'ví_dụ', 'minh_họa', 'vấn_đề']","thầy giảng bài rất nhiệt tình , có các ví dụ minh họa để làm rõ vấn đề ."
-3.0,negative,negative,"['thầy', 'tập', 'thời_gian', 'cố_định', 'ngắn', 'nên', 'không', 'đủ', 'thời_gian']","thầy cho bài tập về quá nhiều , thời gian cố định , ngắn nên không đủ thời gian để làm bài ."
3.0,positive,positive,"['tập', 'thực_hành', 'giúp', 'nâng', 'cao_kiến_thức', 'học', 'lớp']",các bài tập thực hành giúp nâng cao kiến thức đã học trên lớp .
-2.0,negative,negative,"['trường', 'nên', 'có', 'giáo_trình', 'tập', 'hướng', 'giải_tập']",nhà trường nên có nhiều giáo trình bài tập và hướng dẫn giải bài tập nhiều hơn .
4.0,positive,positive,"['dạy', 'hay', 'tuyệt', 'dễ', 'hiểu']","cô dạy hay tuyệt , rất dễ hiểu ."
-3.0,negative,negative,"['tệ', 'không', 'tả', 'được']",tệ đến mức không tả được .
3.0,positive,positive,"['dạy', 'đúng', 'xuyên', 'tập', 'moodle', 'hội', 'học_sinh', 'rèn_luyện', 'kỹ_năng']","dạy đúng giờ , thường xuyên đưa bài tập lên moodle , tạo cơ hội cho học sinh rèn luyện kỹ năng nghe và nói nhiều ."
-4.0,negative,negative,"['giảng_viên', 'diễn_đạt', 'nhanh', 'lớp', 'đông', 'thiệt_thòi', 'sinh_viên', 'lớp', 'không', 'nội_dung', 'giảng']","giảng viên diễn đạt quá nhanh , lớp thường rất đông , rất thiệt thòi cho sinh viên ngồi cuối lớp do không nhìn thấy nội dung bài giảng ."
3.0,positive,positive,"['giảng_dạy', 'hay', 'dễ', 'hiểu']",giảng dạy hay dễ hiểu .
-3.0,negative,negative,"['thầy', 'không', 'slide', 'giảng', 'không', 'giới_thiệu', 'tài_liệu', 'đọc', 'thêm']",thầy không cho slide bài giảng cũng không giới thiệu tài liệu đọc thêm .
1.0,positive,positive,"['thầy', 'nhiệt_tình', 'giảng_dạy']",thầy nhiệt tình trong cách giảng dạy .
